Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR23609077_trimmed_R1	25.476611106843844	57.261694446578076
SRR23609077_trimmed_R2	23.701513173054767	58.562101543897384
SRR23609078_trimmed_R1	45.642184557438796	49.35442561205274
SRR23609078_trimmed_R2	47.83276836158193	46.8045197740113
SRR23609079_trimmed_R1	28.848333113717224	54.668599288443794
SRR23609079_trimmed_R2	25.468441164843853	56.743971537752
SRR23609080_trimmed_R1	47.29940293156465	47.87027205912771
SRR23609080_trimmed_R2	43.892114008356195	50.8294149280898
SRR23609081_trimmed_R1	3.054910285165011	59.47412688240948
SRR23609081_trimmed_R2	2.8977090676065362	59.34496155078501
SRR23609082_trimmed_R1	3.819022982787782	68.84936822206745
SRR23609082_trimmed_R2	3.6414287135608396	68.52452492289324
SRR23609083_trimmed_R1	3.594109195402299	75.50646551724138
SRR23609083_trimmed_R2	3.4145114942528734	75.246408045977
SRR23609084_trimmed_R1	2.6878780346341866	60.89374982738144
SRR23609084_trimmed_R2	2.560830778578728	60.70704559891734
SRR23609085_trimmed_R1	4.664705968423979	66.94687093045374
SRR23609085_trimmed_R2	4.53887011105746	67.25999736622624
SRR23609086_trimmed_R1	3.788769698023295	75.95741852355582
SRR23609086_trimmed_R2	3.503972839480923	75.89350540449335
