Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609077_trimmed_R1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609077_trimmed_R2	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609078_trimmed_R1	(1, 34.46880602636535)	(2, 35.5959472693032)	(3, 36.18451224105461)	(4, 36.4346516007533)	(5, 36.34460263653484)	(6, 36.29968361581921)	(7, 36.41725800376648)	(8, 36.484143126177024)	(9, 36.40674952919021)	(10, 36.47613107344633)	(15, 36.40199171374765)	(20, 36.495377777777776)	(25, 36.619535969868174)	(30, 36.47584934086629)	(35, 36.44594600968168)	(40, 36.41151690268554)	(45, 36.52590725500686)	(50, 36.57244511061066)	(55, 36.16152984449278)	(60, 36.57095051480981)	(65, 36.45744638019954)	(70, 36.31679541285784)	(75, 35.64516640293876)	(80, 35.71808627786198)	(85, 36.47094554839709)	(90, 36.371730065724265)	(95, 36.463816255132976)	(100, 36.07425547987805)	(105, 36.0012073659469)	(110, 36.01904971752935)	(115, 36.179867970755126)	(120, 36.05154154422242)	(125, 36.18605408172316)	(130, 34.96702472979131)	(135, 35.94736941532992)	(140, 35.13289961352877)	(145, 33.96375982412979)	(150, 31.556801180065325)
SRR23609078_trimmed_R2	(1, 32.26670433145009)	(2, 35.98747269303202)	(3, 36.117160075329565)	(4, 36.08456497175141)	(5, 35.94070056497175)	(6, 36.30534086629002)	(7, 36.45697175141243)	(8, 36.43193220338983)	(9, 36.39380790960452)	(10, 36.377863653484)	(15, 36.34664708097928)	(20, 36.39413634651601)	(25, 36.38352994350282)	(30, 36.37670809792844)	(35, 36.40683750535346)	(40, 36.30023673299442)	(45, 36.4454766359523)	(50, 36.415935118026944)	(55, 36.21823730382091)	(60, 36.458622832052086)	(65, 36.32464277933982)	(70, 36.2429110860826)	(75, 36.04273548503461)	(80, 36.29173036040195)	(85, 36.356583271237255)	(90, 36.29648540992027)	(95, 36.43417841385868)	(100, 36.21392006530964)	(105, 36.10059024272845)	(110, 36.07439672870528)	(115, 36.13227070795302)	(120, 36.00246430359214)	(125, 35.97326018999263)	(130, 35.73837499664372)	(135, 35.92291910774646)	(140, 35.46786809682276)	(145, 34.69396336096896)	(150, 32.57341414376876)
SRR23609079_trimmed_R1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609079_trimmed_R2	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609080_trimmed_R1	(1, 34.53277671295211)	(2, 35.74176445443389)	(3, 36.19228913004509)	(4, 36.435984059789575)	(5, 36.361122985066395)	(6, 36.32331324719736)	(7, 36.442271893658386)	(8, 36.49326402007694)	(9, 36.432564360667946)	(10, 36.48314143489472)	(15, 36.39452848140539)	(20, 36.49393968643565)	(25, 36.61074171619255)	(30, 36.4730533224859)	(35, 36.451317873273595)	(40, 36.4111036339567)	(45, 36.525469749500544)	(50, 36.578788807914684)	(55, 36.178270791969695)	(60, 36.58330757353978)	(65, 36.450359753574766)	(70, 36.324608370818034)	(75, 35.639481354047106)	(80, 35.78639371036178)	(85, 36.47126355417123)	(90, 36.388031966377426)	(95, 36.47782840279791)	(100, 36.25987869001638)	(105, 36.4136501201226)	(110, 35.92180840385257)	(115, 35.821970713237306)	(120, 36.066371748181524)	(125, 36.239863823783445)	(130, 35.12338726207332)	(135, 36.14774221338573)	(140, 34.483825039143156)	(145, 34.16177783040485)	(150, 35.23894062059628)
SRR23609080_trimmed_R2	(1, 32.3458929137767)	(2, 35.992222942320154)	(3, 36.16176004191889)	(4, 36.10380441527282)	(5, 35.98676245501303)	(6, 36.31118572551399)	(7, 36.47380069221329)	(8, 36.44340260062602)	(9, 36.38963886322583)	(10, 36.39873553867156)	(15, 36.34790612374346)	(20, 36.39448021952262)	(25, 36.38374953461756)	(30, 36.38049116807545)	(35, 36.4080201485236)	(40, 36.312076103577816)	(45, 36.46202397272641)	(50, 36.43024299120553)	(55, 36.239102310765155)	(60, 36.44626244127121)	(65, 36.33751484949158)	(70, 36.25967567475094)	(75, 36.05830610324548)	(80, 36.301320046585936)	(85, 36.35943474058429)	(90, 36.29542123486046)	(95, 36.43835541221248)	(100, 36.22522519234982)	(105, 36.24933201968828)	(110, 35.84335748696684)	(115, 36.10257186586928)	(120, 36.07703442117905)	(125, 36.12482324365935)	(130, 35.71769498764371)	(135, 36.14224262654708)	(140, 35.21818105753717)	(145, 34.98629937600879)	(150, 34.3415268726615)
SRR23609081_trimmed_R1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609081_trimmed_R2	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
