Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR23609077_trimmed_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 0.5)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 2.5)	(24.0, 3.5)	(25.0, 2.0)	(26.0, 3.5)	(27.0, 5.5)	(28.0, 7.0)	(29.0, 10.5)	(30.0, 24.0)	(31.0, 70.0)	(32.0, 330.0)	(33.0, 1896.5)	(34.0, 8266.5)	(35.0, 20310.5)	(36.0, 17558.0)	(37.0, 6334.0)	(38.0, 12246.0)	(39.0, 29252.0)	(40.0, 25366.0)	(41.0, 6983.0)	(42.0, 1220.0)	(43.0, 197.0)	(44.0, 50.0)	(45.0, 17.5)	(46.0, 9.5)	(47.0, 4.0)	(48.0, 6.0)	(49.0, 6.5)	(50.0, 1.0)	(51.0, 0.0)	(52.0, 0.5)	(53.0, 0.5)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 1.0)	(57.0, 1.0)	(58.0, 1.5)	(59.0, 5.0)	(60.0, 5.0)	(61.0, 1.5)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609077_trimmed_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 2.0)	(6.0, 2.5)	(7.0, 5.0)	(8.0, 5.0)	(9.0, 3.5)	(10.0, 4.0)	(11.0, 3.5)	(12.0, 2.5)	(13.0, 2.5)	(14.0, 3.5)	(15.0, 2.5)	(16.0, 0.5)	(17.0, 2.5)	(18.0, 3.0)	(19.0, 0.5)	(20.0, 0.5)	(21.0, 2.0)	(22.0, 3.0)	(23.0, 2.5)	(24.0, 2.0)	(25.0, 1.5)	(26.0, 0.5)	(27.0, 2.5)	(28.0, 6.5)	(29.0, 15.5)	(30.0, 26.5)	(31.0, 64.5)	(32.0, 308.0)	(33.0, 1794.0)	(34.0, 7879.5)	(35.0, 19251.0)	(36.0, 16701.0)	(37.0, 6268.5)	(38.0, 12686.5)	(39.0, 29813.5)	(40.0, 25995.5)	(41.0, 7582.0)	(42.0, 1365.5)	(43.0, 220.5)	(44.0, 55.5)	(45.0, 20.5)	(46.0, 15.0)	(47.0, 10.0)	(48.0, 5.5)	(49.0, 4.5)	(50.0, 3.0)	(51.0, 1.0)	(52.0, 0.5)	(53.0, 2.5)	(54.0, 2.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.5)	(58.0, 0.5)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.5)	(63.0, 0.5)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 1.0)	(87.0, 1.5)	(88.0, 1.5)	(89.0, 1.0)	(90.0, 0.5)	(91.0, 1.0)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 11.5)
SRR23609078_trimmed_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.5)	(12.0, 3.5)	(13.0, 4.5)	(14.0, 3.0)	(15.0, 0.5)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 0.5)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.5)	(25.0, 1.5)	(26.0, 3.5)	(27.0, 5.0)	(28.0, 8.0)	(29.0, 15.5)	(30.0, 37.5)	(31.0, 94.0)	(32.0, 162.0)	(33.0, 265.5)	(34.0, 958.0)	(35.0, 31574.5)	(36.0, 31370.0)	(37.0, 836.0)	(38.0, 997.0)	(39.0, 30955.0)	(40.0, 32736.0)	(41.0, 2751.5)	(42.0, 303.0)	(43.0, 108.5)	(44.0, 44.5)	(45.0, 22.5)	(46.0, 19.0)	(47.0, 15.0)	(48.0, 15.0)	(49.0, 11.0)	(50.0, 1.5)	(51.0, 0.5)	(52.0, 1.0)	(53.0, 2.0)	(54.0, 2.0)	(55.0, 0.5)	(56.0, 0.5)	(57.0, 1.0)	(58.0, 0.5)	(59.0, 0.5)	(60.0, 0.5)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.5)	(66.0, 0.5)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609078_trimmed_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 1.0)	(6.0, 0.5)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 0.5)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 2.0)	(20.0, 1.5)	(21.0, 1.5)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 2.5)	(25.0, 6.5)	(26.0, 9.0)	(27.0, 7.5)	(28.0, 11.0)	(29.0, 21.5)	(30.0, 41.0)	(31.0, 85.0)	(32.0, 168.5)	(33.0, 256.0)	(34.0, 943.5)	(35.0, 29723.0)	(36.0, 29728.0)	(37.0, 1067.5)	(38.0, 1016.0)	(39.0, 32284.0)	(40.0, 34297.5)	(41.0, 3050.5)	(42.0, 381.5)	(43.0, 137.5)	(44.0, 63.5)	(45.0, 37.5)	(46.0, 26.0)	(47.0, 19.5)	(48.0, 18.0)	(49.0, 15.0)	(50.0, 6.0)	(51.0, 0.5)	(52.0, 0.5)	(53.0, 0.5)	(54.0, 0.5)	(55.0, 0.5)	(56.0, 0.0)	(57.0, 0.5)	(58.0, 1.0)	(59.0, 0.5)	(60.0, 0.0)	(61.0, 0.5)	(62.0, 0.5)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 1.0)	(99.0, 4.0)	(100.0, 15.0)
SRR23609079_trimmed_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 0.5)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.5)	(20.0, 2.5)	(21.0, 2.5)	(22.0, 1.0)	(23.0, 0.5)	(24.0, 0.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 1.5)	(28.0, 3.5)	(29.0, 7.5)	(30.0, 18.0)	(31.0, 44.0)	(32.0, 184.0)	(33.0, 1055.0)	(34.0, 4643.5)	(35.0, 13144.5)	(36.0, 11368.5)	(37.0, 2964.5)	(38.0, 5480.0)	(39.0, 15464.0)	(40.0, 14343.0)	(41.0, 4897.0)	(42.0, 1797.5)	(43.0, 295.0)	(44.0, 43.0)	(45.0, 15.0)	(46.0, 14.0)	(47.0, 14.0)	(48.0, 11.0)	(49.0, 10.5)	(50.0, 13.0)	(51.0, 17.0)	(52.0, 11.0)	(53.0, 3.0)	(54.0, 3.0)	(55.0, 3.0)	(56.0, 5.0)	(57.0, 8.0)	(58.0, 4.5)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 1.0)	(63.0, 1.0)	(64.0, 0.5)	(65.0, 0.5)	(66.0, 0.5)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609079_trimmed_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 0.5)	(6.0, 1.5)	(7.0, 4.0)	(8.0, 5.5)	(9.0, 5.0)	(10.0, 3.0)	(11.0, 2.0)	(12.0, 1.5)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 2.5)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.5)	(19.0, 1.0)	(20.0, 0.5)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 3.0)	(25.0, 4.0)	(26.0, 3.5)	(27.0, 5.0)	(28.0, 7.0)	(29.0, 16.5)	(30.0, 23.0)	(31.0, 42.0)	(32.0, 174.0)	(33.0, 964.5)	(34.0, 4256.5)	(35.0, 11895.5)	(36.0, 10340.0)	(37.0, 2930.0)	(38.0, 5861.5)	(39.0, 16521.0)	(40.0, 15251.0)	(41.0, 5148.5)	(42.0, 1896.0)	(43.0, 324.5)	(44.0, 45.5)	(45.0, 17.5)	(46.0, 14.0)	(47.0, 8.0)	(48.0, 9.5)	(49.0, 12.5)	(50.0, 10.5)	(51.0, 10.5)	(52.0, 7.5)	(53.0, 3.5)	(54.0, 3.5)	(55.0, 3.0)	(56.0, 1.0)	(57.0, 1.0)	(58.0, 1.0)	(59.0, 0.5)	(60.0, 0.5)	(61.0, 1.0)	(62.0, 1.5)	(63.0, 0.5)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.5)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.5)	(85.0, 0.5)	(86.0, 0.5)	(87.0, 1.0)	(88.0, 1.0)	(89.0, 1.0)	(90.0, 1.0)	(91.0, 1.0)	(92.0, 3.0)	(93.0, 3.0)	(94.0, 1.5)	(95.0, 1.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 8.0)
SRR23609080_trimmed_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.0)	(19.0, 0.5)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 1.5)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 5.0)	(26.0, 2.0)	(27.0, 4.5)	(28.0, 6.5)	(29.0, 18.5)	(30.0, 57.0)	(31.0, 119.0)	(32.0, 173.0)	(33.0, 251.5)	(34.0, 1007.0)	(35.0, 35716.5)	(36.0, 35494.0)	(37.0, 836.0)	(38.0, 1056.5)	(39.0, 29092.0)	(40.0, 30565.5)	(41.0, 6410.0)	(42.0, 4184.5)	(43.0, 236.0)	(44.0, 168.0)	(45.0, 55.0)	(46.0, 42.0)	(47.0, 32.0)	(48.0, 28.5)	(49.0, 18.5)	(50.0, 17.0)	(51.0, 28.0)	(52.0, 22.0)	(53.0, 9.5)	(54.0, 8.0)	(55.0, 5.0)	(56.0, 4.5)	(57.0, 5.0)	(58.0, 5.5)	(59.0, 5.0)	(60.0, 2.5)	(61.0, 1.0)	(62.0, 2.0)	(63.0, 3.5)	(64.0, 5.5)	(65.0, 3.5)	(66.0, 0.0)	(67.0, 0.5)	(68.0, 0.5)	(69.0, 0.5)	(70.0, 1.0)	(71.0, 0.5)	(72.0, 0.5)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609080_trimmed_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 2.5)	(17.0, 3.5)	(18.0, 2.5)	(19.0, 1.5)	(20.0, 1.5)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 1.5)	(24.0, 3.5)	(25.0, 5.5)	(26.0, 8.0)	(27.0, 11.0)	(28.0, 14.0)	(29.0, 23.0)	(30.0, 45.0)	(31.0, 85.0)	(32.0, 146.0)	(33.0, 229.5)	(34.0, 865.0)	(35.0, 31404.0)	(36.0, 31539.5)	(37.0, 1127.5)	(38.0, 1237.0)	(39.0, 32442.0)	(40.0, 34162.0)	(41.0, 7083.0)	(42.0, 4532.5)	(43.0, 262.5)	(44.0, 150.5)	(45.0, 62.5)	(46.0, 57.0)	(47.0, 45.5)	(48.0, 33.0)	(49.0, 19.0)	(50.0, 17.0)	(51.0, 31.5)	(52.0, 30.5)	(53.0, 12.5)	(54.0, 9.5)	(55.0, 5.5)	(56.0, 2.0)	(57.0, 4.0)	(58.0, 3.5)	(59.0, 3.0)	(60.0, 2.5)	(61.0, 0.0)	(62.0, 3.0)	(63.0, 3.5)	(64.0, 3.0)	(65.0, 4.0)	(66.0, 2.0)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.5)	(71.0, 0.5)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 3.0)	(100.0, 14.0)
SRR23609081_trimmed_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 0.5)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 1.5)	(23.0, 1.5)	(24.0, 2.5)	(25.0, 5.0)	(26.0, 9.0)	(27.0, 14.0)	(28.0, 16.5)	(29.0, 21.5)	(30.0, 48.0)	(31.0, 219.0)	(32.0, 2575.5)	(33.0, 5021.5)	(34.0, 4677.5)	(35.0, 3715.5)	(36.0, 3191.0)	(37.0, 3934.0)	(38.0, 7225.5)	(39.0, 8464.5)	(40.0, 7241.0)	(41.0, 8126.0)	(42.0, 7683.5)	(43.0, 6011.0)	(44.0, 7074.5)	(45.0, 6478.5)	(46.0, 3694.0)	(47.0, 2711.5)	(48.0, 2067.0)	(49.0, 2168.0)	(50.0, 2738.0)	(51.0, 2351.5)	(52.0, 1433.5)	(53.0, 566.0)	(54.0, 164.5)	(55.0, 55.0)	(56.0, 33.5)	(57.0, 26.5)	(58.0, 28.0)	(59.0, 22.0)	(60.0, 16.0)	(61.0, 11.5)	(62.0, 9.0)	(63.0, 7.0)	(64.0, 5.5)	(65.0, 3.5)	(66.0, 3.5)	(67.0, 5.5)	(68.0, 3.0)	(69.0, 1.0)	(70.0, 0.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.5)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.5)	(77.0, 0.5)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609081_trimmed_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 0.5)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.5)	(21.0, 1.0)	(22.0, 0.5)	(23.0, 2.0)	(24.0, 3.5)	(25.0, 3.5)	(26.0, 5.0)	(27.0, 6.0)	(28.0, 9.5)	(29.0, 18.5)	(30.0, 35.5)	(31.0, 205.0)	(32.0, 2669.5)	(33.0, 5125.0)	(34.0, 4776.0)	(35.0, 3846.0)	(36.0, 3556.0)	(37.0, 4171.5)	(38.0, 7211.5)	(39.0, 9223.5)	(40.0, 8355.5)	(41.0, 8793.5)	(42.0, 8036.0)	(43.0, 6890.5)	(44.0, 7220.5)	(45.0, 4895.0)	(46.0, 2616.5)	(47.0, 2304.5)	(48.0, 2596.5)	(49.0, 3200.5)	(50.0, 2193.0)	(51.0, 856.5)	(52.0, 456.0)	(53.0, 275.0)	(54.0, 89.5)	(55.0, 32.0)	(56.0, 36.5)	(57.0, 30.0)	(58.0, 19.0)	(59.0, 12.5)	(60.0, 13.0)	(61.0, 13.5)	(62.0, 11.0)	(63.0, 6.5)	(64.0, 4.0)	(65.0, 5.0)	(66.0, 3.0)	(67.0, 2.0)	(68.0, 2.5)	(69.0, 3.0)	(70.0, 2.0)	(71.0, 0.5)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 1.0)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 1.0)	(100.0, 13.0)
