Sample	Unique Reads	Duplicate Reads
SRR23609077_trimmed_R1	5849.0	124341.0
SRR23609077_trimmed_R2	6841.0	123349.0
SRR23609078_trimmed_R1	1463.0	131287.0
SRR23609078_trimmed_R2	1881.0	130869.0
SRR23609079_trimmed_R1	4093.0	71797.0
SRR23609079_trimmed_R2	4687.0	71203.0
SRR23609080_trimmed_R1	1877.0	143165.0
SRR23609080_trimmed_R2	2299.0	142743.0
SRR23609081_trimmed_R1	15208.0	84664.0
SRR23609081_trimmed_R2	15529.0	84343.0
SRR23609082_trimmed_R1	17486.0	183534.0
SRR23609082_trimmed_R2	18324.0	182696.0
SRR23609083_trimmed_R1	8192.0	131008.0
SRR23609083_trimmed_R2	8639.0	130561.0
SRR23609084_trimmed_R1	23457.0	157578.0
SRR23609084_trimmed_R2	24007.0	157028.0
SRR23609085_trimmed_R1	16722.0	119964.0
SRR23609085_trimmed_R2	17168.0	119518.0
SRR23609086_trimmed_R1	10287.0	185291.0
SRR23609086_trimmed_R2	11334.0	184244.0
