Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23609077_trimmed_R1	(1.0, 2.9587525923650047)	(2.0, 1.0676703279821798)	(3.0, 0.6728627390736616)	(4.0, 0.5622551655273063)	(5.0, 0.3994162378062831)	(6.0, 0.3594746140256548)	(7.0, 0.38174975036485137)	(8.0, 0.2949535294569475)	(9.0, 0.3387356939857132)	('>10', 5.32298947691835)	('>50', 3.3328212612335815)	('>100', 6.697134956601889)	('>500', 5.538827866963668)	('>1k', 25.608725708579765)	('>5k', 0.0)	('>10k+', 46.463630079115134)
SRR23609077_trimmed_R2	(1.0, 3.6500499270297255)	(2.0, 1.2013211460173594)	(3.0, 0.6959059835624856)	(4.0, 0.4608648897764805)	(5.0, 0.3994162378062831)	(6.0, 0.39173515631000844)	(7.0, 0.3333589369383209)	(8.0, 0.307243259850987)	(9.0, 0.40786542745218524)	('>10', 5.354481911053076)	('>50', 3.590137491358783)	('>100', 7.348490667485982)	('>500', 4.604808357016668)	('>1k', 25.94438896996697)	('>5k', 0.0)	('>10k+', 45.309931638374685)
SRR23609078_trimmed_R1	(1.0, 0.6696798493408663)	(2.0, 0.1958568738229755)	(3.0, 0.1672316384180791)	(4.0, 0.17175141242937855)	(5.0, 0.13935969868173256)	(6.0, 0.16271186440677965)	(7.0, 0.09491525423728814)	(8.0, 0.1687382297551789)	(9.0, 0.08813559322033898)	('>10', 2.4738229755178907)	('>50', 0.3231638418079096)	('>100', 0.47156308851224105)	('>500', 1.12090395480226)	('>1k', 2.9318267419962334)	('>5k', 0.0)	('>10k+', 90.82033898305085)
SRR23609078_trimmed_R2	(1.0, 0.9453860640301318)	(2.0, 0.2455743879472693)	(3.0, 0.18983050847457628)	(4.0, 0.11148775894538607)	(5.0, 0.1544256120527307)	(6.0, 0.13559322033898305)	(7.0, 0.12655367231638417)	(8.0, 0.15668549905838042)	(9.0, 0.1694915254237288)	('>10', 2.64030131826742)	('>50', 0.23879472693032014)	('>100', 0.6184557438794727)	('>500', 1.1450094161958568)	('>1k', 2.8783427495291902)	('>5k', 0.0)	('>10k+', 90.24406779661017)
SRR23609079_trimmed_R1	(1.0, 3.5670048754776653)	(2.0, 1.288707339570431)	(3.0, 0.8736328897087889)	(4.0, 0.6061404664646198)	(5.0, 0.5270786664909738)	(6.0, 0.44274607985241793)	(7.0, 0.3136118065621294)	(8.0, 0.40057978653314)	(9.0, 0.4150744498616419)	('>10', 6.454078271181974)	('>50', 3.0741863223086043)	('>100', 10.125181183291607)	('>500', 13.847674265384107)	('>1k', 7.782316510739228)	('>5k', 0.0)	('>10k+', 50.28198708657266)
SRR23609079_trimmed_R2	(1.0, 4.307550401897483)	(2.0, 1.346685992884438)	(3.0, 0.7827118197390961)	(4.0, 0.6272236131242588)	(5.0, 0.5797865331400711)	(6.0, 0.4585584398471472)	(7.0, 0.3781789432072737)	(8.0, 0.36895506654368165)	(9.0, 0.24904466991698512)	('>10', 7.014099354328633)	('>50', 2.8132823823955726)	('>100', 9.038081433653973)	('>500', 15.21807879826064)	('>1k', 7.8930030307023324)	('>5k', 0.0)	('>10k+', 48.924759520358414)
SRR23609080_trimmed_R1	(1.0, 0.8576826022807188)	(2.0, 0.24820396850567422)	(3.0, 0.18615297637925565)	(4.0, 0.12685980612512238)	(5.0, 0.12754926159319369)	(6.0, 0.12410198425283711)	(7.0, 0.10617614208298287)	(8.0, 0.1323754498696929)	(9.0, 0.09928158740226968)	('>10', 2.2221149735938557)	('>50', 0.34265936763144467)	('>100', 0.6129259111154011)	('>500', 0.6122364556473298)	('>1k', 2.331738393017195)	('>5k', 5.3805104728285595)	('>10k+', 86.48943064767447)
SRR23609080_trimmed_R2	(1.0, 1.0983025606376084)	(2.0, 0.28405565284538276)	(3.0, 0.215110106038251)	(4.0, 0.17374277795397197)	(5.0, 0.11031287489141077)	(6.0, 0.12410198425283711)	(7.0, 0.10134995380648364)	(8.0, 0.12134416238055183)	(9.0, 0.16133257952868824)	('>10', 2.4110257718453965)	('>50', 0.47779263937342287)	('>100', 0.6012051681581887)	('>500', 0.5970684353497607)	('>1k', 2.3593166117400477)	('>5k', 5.774879000565353)	('>10k+', 85.38905972063264)
SRR23609081_trimmed_R1	(1.0, 11.352531239987183)	(2.0, 3.0599166933675104)	(3.0, 1.9314722845241912)	(4.0, 1.393784043575777)	(5.0, 1.1714995193848126)	(6.0, 0.8651073373918615)	(7.0, 0.8060317206023712)	(8.0, 0.7369432874078821)	(9.0, 0.6037728292214034)	('>10', 10.474407241268825)	('>50', 5.275752963793656)	('>100', 20.586350528676707)	('>500', 14.279277475168215)	('>1k', 27.463152835629607)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609081_trimmed_R2	(1.0, 11.693968279397629)	(2.0, 3.1099807753925024)	(3.0, 1.8563761614867031)	(4.0, 1.3897789170137775)	(5.0, 1.0813841717398271)	(6.0, 0.8891380967638578)	(7.0, 0.7779958346683755)	(8.0, 0.7449535405318808)	(9.0, 0.6398189682793977)	('>10', 10.310197052226851)	('>50', 5.463993912207625)	('>100', 20.759572252483178)	('>500', 13.017662608138417)	('>1k', 28.265179429669978)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609082_trimmed_R1	(1.0, 6.325241269525421)	(2.0, 1.9052830564122973)	(3.0, 1.1983882200776044)	(4.0, 0.8377275892945976)	(5.0, 0.5944682121181972)	(6.0, 0.5253208635956621)	(7.0, 0.4875136802308228)	(8.0, 0.3780718336483932)	(9.0, 0.32683315093025567)	('>10', 6.030743209630883)	('>50', 3.733459357277883)	('>100', 14.446821211819719)	('>500', 12.188339468709582)	('>1k', 41.61327231121281)	('>5k', 9.40851656551587)	('>10k+', 0.0)
SRR23609082_trimmed_R2	(1.0, 6.755049248830962)	(2.0, 1.8714555765595462)	(3.0, 1.173017610188041)	(4.0, 0.8297681822704208)	(5.0, 0.6740622823599641)	(6.0, 0.5760620833747886)	(7.0, 0.466620236792359)	(8.0, 0.38205153716048157)	(9.0, 0.32683315093025567)	('>10', 6.02527111730176)	('>50', 3.834941796836136)	('>100', 14.726395383543926)	('>500', 11.43468311610785)	('>1k', 44.38364341856531)	('>5k', 6.540145259178192)	('>10k+', 0.0)
SRR23609083_trimmed_R1	(1.0, 4.25)	(2.0, 1.1724137931034484)	(3.0, 0.6508620689655172)	(4.0, 0.5201149425287356)	(5.0, 0.4166666666666667)	(6.0, 0.3146551724137931)	(7.0, 0.2514367816091954)	(8.0, 0.30459770114942525)	(9.0, 0.24568965517241378)	('>10', 6.199712643678161)	('>50', 4.238505747126436)	('>100', 18.40948275862069)	('>500', 10.500718390804597)	('>1k', 48.931034482758626)	('>5k', 3.594109195402299)	('>10k+', 0.0)
SRR23609083_trimmed_R2	(1.0, 4.591235632183908)	(2.0, 1.1580459770114941)	(3.0, 0.646551724137931)	(4.0, 0.5258620689655172)	(5.0, 0.4166666666666667)	(6.0, 0.3232758620689655)	(7.0, 0.23132183908045975)	(8.0, 0.26436781609195403)	(9.0, 0.24568965517241378)	('>10', 5.987068965517241)	('>50', 4.288793103448276)	('>100', 18.720545977011493)	('>500', 10.161637931034482)	('>1k', 52.43893678160919)	('>5k', 0.0)	('>10k+', 0.0)
