Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR23609077_trimmed_R1	(52, 7.0)	(54, 0.0)	(56, 0.0)	(58, 11.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 10.0)	(150, 130162.0)
SRR23609077_trimmed_R2	(72, 3.0)	(74, 2.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 5.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 8.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 130172.0)										
SRR23609078_trimmed_R1	(35, 102.0)	(40, 36.0)	(45, 16.0)	(50, 57.0)	(55, 109.0)	(60, 32.0)	(65, 116.0)	(70, 143.0)	(75, 121.0)	(80, 87.0)	(85, 101.0)	(90, 65.0)	(95, 69.0)	(100, 179.0)	(105, 346.0)	(110, 103.0)	(115, 233.0)	(120, 83.0)	(125, 309.0)	(130, 294.0)	(135, 106.0)	(140, 302.0)	(145, 82286.0)	(150, 47455.0)																										
SRR23609078_trimmed_R2	(35, 138.0)	(40, 80.0)	(45, 43.0)	(50, 65.0)	(55, 74.0)	(60, 35.0)	(65, 120.0)	(70, 147.0)	(75, 88.0)	(80, 89.0)	(85, 114.0)	(90, 99.0)	(95, 55.0)	(100, 126.0)	(105, 138.0)	(110, 102.0)	(115, 119.0)	(120, 66.0)	(125, 90.0)	(130, 132.0)	(135, 160.0)	(140, 180.0)	(145, 61852.0)	(150, 68638.0)																										
SRR23609079_trimmed_R1	(52, 10.0)	(54, 0.0)	(56, 0.0)	(58, 7.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 3.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 3.0)	(150, 75867.0)
SRR23609079_trimmed_R2	(72, 1.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 3.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 3.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 75883.0)										
SRR23609080_trimmed_R1	(35, 117.0)	(40, 39.0)	(45, 21.0)	(50, 83.0)	(55, 104.0)	(60, 37.0)	(65, 133.0)	(70, 130.0)	(75, 113.0)	(80, 108.0)	(85, 92.0)	(90, 73.0)	(95, 65.0)	(100, 131.0)	(105, 88.0)	(110, 124.0)	(115, 242.0)	(120, 57.0)	(125, 290.0)	(130, 353.0)	(135, 207.0)	(140, 318.0)	(145, 69735.0)	(150, 72382.0)																										
SRR23609080_trimmed_R2	(35, 123.0)	(40, 82.0)	(45, 43.0)	(50, 78.0)	(55, 94.0)	(60, 64.0)	(65, 116.0)	(70, 144.0)	(75, 93.0)	(80, 87.0)	(85, 128.0)	(90, 80.0)	(95, 45.0)	(100, 137.0)	(105, 86.0)	(110, 142.0)	(115, 113.0)	(120, 44.0)	(125, 124.0)	(130, 150.0)	(135, 115.0)	(140, 170.0)	(145, 62070.0)	(150, 80714.0)																										
SRR23609081_trimmed_R1	(52, 7.0)	(54, 0.0)	(56, 0.0)	(58, 10.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 3.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 5.0)	(150, 99847.0)
SRR23609081_trimmed_R2	(45, 1.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 4.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 1.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 3.0)	(145, 0.0)	(150, 99863.0)																												
