Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR23609077_trimmed_R1	95.50733543282894	37.0	150.4868039019894	150	40.0	0.13019
SRR23609077_trimmed_R2	94.7453721483985	37.0	150.4952684537983	150	40.0	0.13019
SRR23609078_trimmed_R1	98.89792843691149	37.0	147.27576271186442	147	40.0	0.13275
SRR23609078_trimmed_R2	98.58305084745763	37.0	147.92412806026366	150	40.0	0.13275
SRR23609079_trimmed_R1	94.60666754513112	39.0	150.47567531954144	150	40.0	0.07589
SRR23609079_trimmed_R2	93.82395572539201	39.0	150.49739096060088	150	40.0	0.07589
SRR23609080_trimmed_R1	98.7065815418982	39.0	147.88651562995545	147	40.0	0.145042
SRR23609080_trimmed_R2	98.41494187890405	40.0	148.11953089449952	150	40.0	0.145042
SRR23609081_trimmed_R1	84.77250881127844	43.0	150.48165652034604	150	50.0	0.09987199999999999
SRR23609081_trimmed_R2	84.451097404678	42.0	150.49527895706504	150	40.0	0.09987199999999999
SRR23609082_trimmed_R1	91.30136304845288	41.0	140.73954084170728	150	50.0	0.20102
SRR23609082_trimmed_R2	90.88448910556164	41.0	145.08899363247437	150	50.0	0.20102
SRR23609083_trimmed_R1	94.11494252873564	42.0	144.69081896551725	150	50.0	0.1392
SRR23609083_trimmed_R2	93.79382183908046	41.0	144.6418893678161	150	50.0	0.1392
SRR23609084_trimmed_R1	87.04283702046565	44.0	145.56208467975804	150	50.0	0.181035
SRR23609084_trimmed_R2	86.73902836468086	43.0	145.79842019498992	150	50.0	0.181035
SRR23609085_trimmed_R1	87.76612089021553	44.0	145.8750201191051	150	50.0	0.136686
SRR23609085_trimmed_R2	87.43982558564886	44.0	146.3013732203737	150	50.0	0.136686
SRR23609086_trimmed_R1	94.74020595363487	44.0	150.4852130607737	150	50.0	0.195578
SRR23609086_trimmed_R2	94.2048696683676	44.0	150.49489717657406	150	50.0	0.195578
