.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR23609077_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR23609077_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR23609078_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR23609078_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR23609079_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR23609079_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR23609080_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR23609080_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR23609081_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609081_2	1	1	1	0.25	0.5	1	0.5	0.25	0.25	0.25
SRR23609082_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609082_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609083_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609083_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609084_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609084_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609085_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609085_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609086_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR23609086_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
