Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR23609077_1	25.60166071525395	57.24355349687455
SRR23609077_2	23.782929644232034	58.80976909551436
SRR23609078_1	45.642184557438796	49.35442561205274
SRR23609078_2	47.83276836158193	46.8045197740113
SRR23609079_1	29.008334886693472	54.55489574734375
SRR23609079_2	25.617127792719625	57.06468191622507
SRR23609080_1	47.29940293156465	47.87027205912771
SRR23609080_2	43.892114008356195	50.8294149280898
SRR23609081_1	3.0549383962835788	59.41324984851545
SRR23609081_2	2.9115330236315895	59.30620076752171
SRR23609082_1	3.819022982787782	68.84936822206745
SRR23609082_2	3.6414287135608396	68.52452492289324
SRR23609083_1	3.594109195402299	75.50646551724138
SRR23609083_2	3.4145114942528734	75.246408045977
SRR23609084_1	2.6878780346341866	60.89374982738144
SRR23609084_2	2.560830778578728	60.70704559891734
SRR23609085_1	4.664705968423979	66.94687093045374
SRR23609085_2	4.53887011105746	67.25999736622624
SRR23609086_1	3.791449620287147	76.20225194760943
SRR23609086_2	3.5095689704128565	76.21154471628661
