Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609077_1	(1, 0.0)	(2, 0.0007745873385953633)	(3, 0.026335969512242357)	(4, 0.0)	(5, 0.0015491746771907266)	(6, 0.08752836926127605)	(7, 0.0)	(8, 0.016266334110502628)	(9, 0.0)	(10, 0.004337689096134035)	(15, 0.004802441499291253)	(20, 0.000464752403157218)	(25, 0.008365543256829923)	(30, 0.0038729366929768166)	(35, 0.01038093378823515)	(40, 0.009456528647855926)	(45, 0.005272511297130823)	(50, 0.0046533920901641245)	(55, 0.009313169287030324)	(60, 0.012889759939868493)	(65, 0.007147063256170945)	(70, 0.008399792805110808)	(75, 0.012455103245021462)	(80, 0.010595564198211843)	(85, 0.01309671927182241)	(90, 0.01060809335122149)	(95, 0.0029656407110669907)	(100, 0.010776350128301039)	(105, 0.003129454583008)	(110, 0.002821436016884727)	(115, 0.01553679631260034)	(120, 0.002513972186040227)	(125, 0.014778921484621274)	(130, 0.004253978257444462)	(135, 0.002839157022733761)	(140, 0.0011053160967183166)	(145, 0.0020995205018177004)	(150, 0.0)
SRR23609077_2	(1, 0.0)	(2, 0.008520460724548998)	(3, 0.007745873385953633)	(4, 0.00464752403157218)	(5, 0.0)	(6, 0.00232376201578609)	(7, 0.007745873385953633)	(8, 0.010844222740335085)	(9, 0.0061966987087629065)	(10, 0.011773727546649522)	(15, 0.005731946305605689)	(20, 0.004492606563853107)	(25, 0.011463892611211378)	(30, 0.00697128604735827)	(35, 0.012241722890782137)	(40, 0.010859430872741431)	(45, 0.007605436179525545)	(50, 0.013199475126753783)	(55, 0.005282866421168757)	(60, 0.010416747642627818)	(65, 0.010734571387233327)	(70, 0.004984190769901718)	(75, 0.009509926960642933)	(80, 0.0017159963620877123)	(85, 0.008741681743465983)	(90, 0.013121678575110676)	(95, 0.0050013050280307515)	(100, 0.006879912687653528)	(105, 0.005008420406808948)	(110, 0.0026630824709645683)	(115, 0.0034489840390424997)	(120, 0.0031372352173476554)	(125, 0.01459634055616766)	(130, 0.006755153946816516)	(135, 0.008490659488390596)	(140, 0.0018891628174974259)	(145, 0.007752772011543719)	(150, 0.0)
SRR23609078_1	(1, 0.0)	(2, 0.0015065913370998117)	(3, 0.024105461393596987)	(4, 0.0)	(5, 0.0015065913370998117)	(6, 0.0775894538606403)	(7, 0.0)	(8, 0.012806026365348399)	(9, 0.0)	(10, 0.003766478342749529)	(15, 0.003314500941619586)	(20, 0.00015065913370998117)	(25, 0.007683615819209039)	(30, 0.003314500941619586)	(35, 0.010397187636086378)	(40, 0.00829404969794579)	(45, 0.004977195395641787)	(50, 0.004676252481430753)	(55, 0.007246026761992174)	(60, 0.01087483517827933)	(65, 0.00649772579597141)	(70, 0.005747795795941149)	(75, 0.011355223175556293)	(80, 0.008486301442519705)	(85, 0.011524004045531945)	(90, 0.010621429492675007)	(95, 0.0021254307792740136)	(100, 0.011395266861956218)	(105, 0.002435890409290486)	(110, 0.0013726605669698213)	(115, 0.014964025261717749)	(120, 0.0022935990238442555)	(125, 0.013619995990518035)	(130, 0.003990876242927707)	(135, 0.0023055286577212154)	(140, 0.0007696428241581646)	(145, 0.0019003247971799179)	(150, 0.0)
SRR23609078_2	(1, 0.0)	(2, 0.005273069679849341)	(3, 0.006026365348399247)	(4, 0.006026365348399247)	(5, 0.0)	(6, 0.0030131826741996233)	(7, 0.006026365348399247)	(8, 0.007532956685499058)	(9, 0.015065913370998116)	(10, 0.010094161958568739)	(15, 0.004067796610169492)	(20, 0.003766478342749529)	(25, 0.013258003766478343)	(30, 0.005875706214689265)	(35, 0.01130224462578268)	(40, 0.01131499901182342)	(45, 0.0072443644881252794)	(50, 0.010870599105893223)	(55, 0.00498509757950853)	(60, 0.008614488057599188)	(65, 0.009980432303937432)	(70, 0.0030273719837914507)	(75, 0.005756921561943719)	(80, 0.0009095953210416686)	(85, 0.007130406023524272)	(90, 0.011083798068382479)	(95, 0.0028866781323496345)	(100, 0.006080274828422244)	(105, 0.003956731617937995)	(110, 0.0028939945044567515)	(115, 0.0021341756213118777)	(120, 0.0038141501920806037)	(125, 0.012211559156608667)	(130, 0.005194408372164082)	(135, 0.006423236209923594)	(140, 0.002143849220021714)	(145, 0.011400084422246801)	(150, 0.0)
SRR23609079_1	(1, 0.0)	(2, 0.0)	(3, 0.02529757942108487)	(4, 0.0)	(5, 0.002662903096956302)	(6, 0.06923548052086384)	(7, 0.0)	(8, 0.018640321678694113)	(9, 0.0)	(10, 0.005858386813303864)	(15, 0.002662903096956302)	(20, 0.0010651612387825207)	(25, 0.007988709290868905)	(30, 0.002662903096956302)	(35, 0.009588493807431082)	(40, 0.008797982329385794)	(45, 0.005333930733575494)	(50, 0.006935793227998197)	(55, 0.00560624909899568)	(60, 0.011484766658921126)	(65, 0.005612137182012298)	(70, 0.005885201126748506)	(75, 0.013120442988997573)	(80, 0.010184937014205307)	(85, 0.01314197896746958)	(90, 0.008587445691114946)	(95, 0.0026849962410052624)	(100, 0.009134726468675948)	(105, 0.002689820642759541)	(110, 0.0026926090573983472)	(115, 0.015096618357487922)	(120, 0.00215940162980838)	(125, 0.011616190267793708)	(130, 0.0032517857723533177)	(135, 0.0016280811435641952)	(140, 0.00027188911274425836)	(145, 0.002188602850655213)	(150, 0.0)
SRR23609079_2	(1, 0.0)	(2, 0.005325806193912604)	(3, 0.005325806193912604)	(4, 0.003994354645434453)	(5, 0.0)	(6, 0.005325806193912604)	(7, 0.007988709290868905)	(8, 0.011983063936303358)	(9, 0.011983063936303358)	(10, 0.013314515484781509)	(15, 0.005059515884216974)	(20, 0.003195483716347562)	(25, 0.01704257982052033)	(30, 0.006390967432695124)	(35, 0.008523514244923182)	(40, 0.014135180330229816)	(45, 0.008271982794275788)	(50, 0.012281273194252363)	(55, 0.006946782303873633)	(60, 0.009357237957234749)	(65, 0.011236977146128861)	(70, 0.006697510937035359)	(75, 0.009921512789366285)	(80, 0.001609943008017516)	(85, 0.010204657083240462)	(90, 0.015048949395220345)	(95, 0.0034955915213083187)	(100, 0.0064587140162167544)	(105, 0.004041361992876426)	(110, 0.0032357921758545184)	(115, 0.002698567330604182)	(120, 0.0032406332197311353)	(125, 0.014860366591734394)	(130, 0.0067639228588125795)	(135, 0.010291492997722331)	(140, 0.001898032282817656)	(145, 0.00925767093336383)	(150, 0.0)
SRR23609080_1	(1, 0.0)	(2, 0.0013789109361426347)	(3, 0.016546931233711613)	(4, 0.0)	(5, 0.0027578218722852693)	(6, 0.07790846789205885)	(7, 0.0)	(8, 0.013099653893355026)	(9, 0.0)	(10, 0.005515643744570539)	(15, 0.004550406089270694)	(20, 0.0002757821872285269)	(25, 0.006618772493484646)	(30, 0.0042746239020421675)	(35, 0.011033250078267118)	(40, 0.010766000968940087)	(45, 0.005107795185695965)	(50, 0.006213530030681031)	(55, 0.008843822244700272)	(60, 0.013687209924471486)	(65, 0.006915753671919412)	(70, 0.00636863309750931)	(75, 0.01510379354638458)	(80, 0.010123605057364784)	(85, 0.014570078609043162)	(90, 0.011107778777477867)	(95, 0.0029174365457551297)	(100, 0.012233045069040249)	(105, 0.0023650364146047954)	(110, 0.0030626506963353996)	(115, 0.018397571520559288)	(120, 0.003070220120827117)	(125, 0.014522279830368601)	(130, 0.005743310444140002)	(135, 0.00196349580793645)	(140, 0.00028106348802599273)	(145, 0.003244422062634273)	(150, 0.0)
SRR23609080_2	(1, 0.0)	(2, 0.011720742957212394)	(3, 0.009652376552998441)	(4, 0.0027578218722852693)	(5, 0.0)	(6, 0.004136732808427903)	(7, 0.006894554680713173)	(8, 0.015168020297568979)	(9, 0.006205099212641855)	(10, 0.00992815874022697)	(15, 0.0042746239020421675)	(20, 0.004826188276499221)	(25, 0.011307069676369602)	(30, 0.008825029991312862)	(35, 0.012688640081207297)	(40, 0.011320134792434286)	(45, 0.006214645571857876)	(50, 0.012571943290865032)	(55, 0.006911958240713093)	(60, 0.009682349767969403)	(65, 0.0119019939991807)	(70, 0.0042946043145534445)	(75, 0.009427265871079367)	(80, 0.001942119296064989)	(85, 0.008884434332230644)	(90, 0.012780955265267338)	(95, 0.0034748428328586697)	(100, 0.005423649615546683)	(105, 0.003897604365316889)	(110, 0.0039002103327715177)	(115, 0.0025093857999433995)	(120, 0.00460341573447498)	(125, 0.015351743330016427)	(130, 0.007824824535296246)	(135, 0.009228962161255138)	(140, 0.003079106443310151)	(145, 0.00913379320811137)	(150, 0.0)
SRR23609081_1	(1, 0.0)	(2, 0.0010098969905069683)	(3, 0.020197939810139363)	(4, 0.0)	(5, 0.0010098969905069683)	(6, 0.07776206826903656)	(7, 0.0)	(8, 0.013128660876590587)	(9, 0.0)	(10, 0.004645526156332055)	(15, 0.005049484952534841)	(20, 0.00020197939810139365)	(25, 0.008079175924055746)	(30, 0.00444354675823066)	(35, 0.010706789518659107)	(40, 0.00970457651654226)	(45, 0.006273474938479471)	(50, 0.005873227399213392)	(55, 0.008717105596584517)	(60, 0.009742414616869397)	(65, 0.007720564332618165)	(70, 0.005492247793947136)	(75, 0.013248974733186031)	(80, 0.006550517797961561)	(85, 0.011107682813946312)	(90, 0.011590243498597788)	(95, 0.0018758910482479178)	(100, 0.010704098830314847)	(105, 0.0021150323811457553)	(110, 0.0023503771286938315)	(115, 0.012998999077071065)	(120, 0.0022017605277179636)	(125, 0.01344296820738019)	(130, 0.0047759944871377915)	(135, 0.002312459531958191)	(140, 0.0007063310809219974)	(145, 0.0016845428752259091)	(150, 0.0)
SRR23609081_2	(1, 0.0)	(2, 0.015148454857604526)	(3, 0.012118763886083619)	(4, 0.004039587962027873)	(5, 0.0)	(6, 0.0020197939810139365)	(7, 0.0060593819430418095)	(8, 0.008079175924055746)	(9, 0.013128660876590587)	(10, 0.010098969905069682)	(15, 0.004847505554433448)	(20, 0.004847505554433448)	(25, 0.009896990506968288)	(30, 0.006665320137345991)	(35, 0.013333575761983551)	(40, 0.010515225844807399)	(45, 0.00667945884238906)	(50, 0.012357333571026306)	(55, 0.006083613179539592)	(60, 0.00913577590144731)	(65, 0.009551622454848262)	(70, 0.004069647955103644)	(75, 0.006518440055814143)	(80, 0.0020386861075773885)	(85, 0.006326040021386097)	(90, 0.010212835491645901)	(95, 0.00286286859433152)	(100, 0.006755498054211849)	(105, 0.003691595876897583)	(110, 0.0037130244647056395)	(115, 0.0020991733455365275)	(120, 0.004300307687015005)	(125, 0.01393062548508428)	(130, 0.007513746741196962)	(135, 0.0072685664980046616)	(140, 0.0024283514893079683)	(145, 0.009810629691493428)	(150, 0.0)
SRR23609082_1	(1, 0.0)	(2, 0.0019898517560441747)	(3, 0.020893443438463836)	(4, 0.0)	(5, 0.0024873146950552183)	(6, 0.07660929260770073)	(7, 0.0)	(8, 0.011441647597254006)	(9, 0.0)	(10, 0.005074121977912646)	(15, 0.004576659038901602)	(20, 0.0006964481146154611)	(25, 0.007760421848572281)	(30, 0.00467615162670381)	(35, 0.011245090224434089)	(40, 0.009760927009182244)	(45, 0.004885178368828973)	(50, 0.004590172440804238)	(55, 0.006991463423160321)	(60, 0.012600680436743585)	(65, 0.007810685017103397)	(70, 0.005415982564547981)	(75, 0.013576831288260264)	(80, 0.006381588610383756)	(85, 0.014118311449950587)	(90, 0.010166523505417305)	(95, 0.0029552043787685455)	(100, 0.010745478302730212)	(105, 0.00339655304648895)	(110, 0.00369006578380911)	(115, 0.01475228174342237)	(120, 0.002343393913971666)	(125, 0.011514643387895951)	(130, 0.004037294816725167)	(135, 0.0017512565265578053)	(140, 0.0010226216696088346)	(145, 0.001711068904744794)	(150, 0.0)
SRR23609082_2	(1, 0.0)	(2, 0.010944184658242961)	(3, 0.008954332902198785)	(4, 0.0059695552681325245)	(5, 0.0)	(6, 0.0044771664510993925)	(7, 0.007461944085165656)	(8, 0.011441647597254006)	(9, 0.010446721719231918)	(10, 0.009750273604616456)	(15, 0.005273107153517063)	(20, 0.005571584916923689)	(25, 0.011441647597254006)	(30, 0.008058899611978908)	(35, 0.013037005190917486)	(40, 0.010759715624701119)	(45, 0.007380485995029142)	(50, 0.013080836574418477)	(55, 0.00619833884518949)	(60, 0.008908935662469456)	(65, 0.00982258211628534)	(70, 0.0027098693441513994)	(75, 0.006933342443812294)	(80, 0.0024143849052655725)	(85, 0.007452915701480512)	(90, 0.010386613973928592)	(95, 0.0026251701312181193)	(100, 0.006066605259140099)	(105, 0.004356375860004316)	(110, 0.0037699937030915985)	(115, 0.0035243642409711487)	(120, 0.004663452417417147)	(125, 0.014035423668511581)	(130, 0.00670534908047313)	(135, 0.007574783774354077)	(140, 0.0026098014652848954)	(145, 0.010067068776495113)	(150, 0.0)
SRR23609083_1	(1, 0.0)	(2, 0.0007183908045977011)	(3, 0.020114942528735632)	(4, 0.0)	(5, 0.0028735632183908046)	(6, 0.07686781609195402)	(7, 0.0)	(8, 0.015804597701149423)	(9, 0.0)	(10, 0.004166666666666667)	(15, 0.004310344827586207)	(20, 0.00028735632183908046)	(25, 0.009626436781609196)	(30, 0.0035919540229885057)	(35, 0.009772150807280252)	(40, 0.009062283781820482)	(45, 0.0054722714246626634)	(50, 0.005189780169561651)	(55, 0.007504246393271578)	(60, 0.0109849130891021)	(65, 0.006513347296020056)	(70, 0.007104661818097459)	(75, 0.012208557035762352)	(80, 0.008317561582788192)	(85, 0.011582100230615741)	(90, 0.010459804151216357)	(95, 0.0023687911762528685)	(100, 0.00982049328635368)	(105, 0.0019459679543984863)	(110, 0.0028694967959802882)	(115, 0.013168593211437075)	(120, 0.0023354663926386096)	(125, 0.011725354176998975)	(130, 0.004183514699422514)	(135, 0.0016370336295818526)	(140, 0.0006662735652631614)	(145, 0.0022106211845528594)	(150, 0.0)
