Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609077_1	(1, 34.249424868901094)	(2, 35.22104398881496)	(3, 36.287635262314005)	(4, 36.49934547369889)	(5, 35.90168937498547)	(6, 36.3974330175599)	(7, 36.45189425333653)	(8, 36.43856360523931)	(9, 36.52479841364513)	(10, 36.55730164754727)	(15, 36.488880798754465)	(20, 36.534380059023555)	(25, 36.65536595378812)	(30, 36.536556649445004)	(35, 36.48790642018639)	(40, 36.461363172348946)	(45, 36.56315245521369)	(50, 36.59955388505505)	(55, 36.29380430382578)	(60, 36.58331046812722)	(65, 36.508326430367674)	(70, 36.33418352979736)	(75, 35.800412195668386)	(80, 35.762427220147075)	(85, 36.44722287142473)	(90, 36.40464550090384)	(95, 36.465634940844396)	(100, 36.04654839463059)	(105, 35.92167666258579)	(110, 35.98543539551441)	(115, 36.14864095202658)	(120, 36.11336799832826)	(125, 36.24767920589185)	(130, 35.22490568657654)	(135, 35.984552774474494)	(140, 35.304696700286215)	(145, 33.98436750203909)	(150, 33.10673317518604)
SRR23609077_2	(1, 32.301856685850616)	(2, 36.00999217666788)	(3, 36.150881867684994)	(4, 36.15663705161075)	(5, 35.42929954066971)	(6, 36.369137342081004)	(7, 36.46496154173864)	(8, 36.31991231671327)	(9, 36.46775780203097)	(10, 36.42736152314854)	(15, 36.41259633930024)	(20, 36.42984485015607)	(25, 36.42514620336016)	(30, 36.38802333057064)	(35, 36.41342938860078)	(40, 36.33419341710463)	(45, 36.46026791037904)	(50, 36.45628994295072)	(55, 36.297683673527374)	(60, 36.48663609464155)	(65, 36.37168249572396)	(70, 36.21620760668816)	(75, 36.13359907326289)	(80, 36.30920714007512)	(85, 36.389388906276615)	(90, 36.32643477594155)	(95, 36.43046942797476)	(100, 36.236932768560415)	(105, 36.09321730931565)	(110, 36.09253309728316)	(115, 36.08798490314039)	(120, 36.01157451331872)	(125, 36.04193625136277)	(130, 35.82737982757422)	(135, 35.94300249792701)	(140, 35.55034908831286)	(145, 34.860923885774675)	(150, 33.26832160441317)
SRR23609078_1	(1, 34.46880602636535)	(2, 35.5959472693032)	(3, 36.18451224105461)	(4, 36.4346516007533)	(5, 36.34460263653484)	(6, 36.29968361581921)	(7, 36.41725800376648)	(8, 36.484143126177024)	(9, 36.40674952919021)	(10, 36.47613107344633)	(15, 36.40199171374765)	(20, 36.495377777777776)	(25, 36.619535969868174)	(30, 36.47584934086629)	(35, 36.44594600968168)	(40, 36.41151690268554)	(45, 36.52590725500686)	(50, 36.57244511061066)	(55, 36.16152984449278)	(60, 36.57095051480981)	(65, 36.45744638019954)	(70, 36.31679541285784)	(75, 35.64516640293876)	(80, 35.71808627786198)	(85, 36.47094554839709)	(90, 36.371730065724265)	(95, 36.463816255132976)	(100, 36.07425547987805)	(105, 36.0012073659469)	(110, 36.01904971752935)	(115, 36.179867970755126)	(120, 36.05154154422242)	(125, 36.18605408172316)	(130, 34.96702472979131)	(135, 35.94736941532992)	(140, 35.13289961352877)	(145, 33.96375982412979)	(150, 31.556801180065325)
SRR23609078_2	(1, 32.26670433145009)	(2, 35.98747269303202)	(3, 36.117160075329565)	(4, 36.08456497175141)	(5, 35.94070056497175)	(6, 36.30534086629002)	(7, 36.45697175141243)	(8, 36.43193220338983)	(9, 36.39380790960452)	(10, 36.377863653484)	(15, 36.34664708097928)	(20, 36.39413634651601)	(25, 36.38352994350282)	(30, 36.37670809792844)	(35, 36.40683750535346)	(40, 36.30023673299442)	(45, 36.4454766359523)	(50, 36.415935118026944)	(55, 36.21823730382091)	(60, 36.458622832052086)	(65, 36.32464277933982)	(70, 36.2429110860826)	(75, 36.04273548503461)	(80, 36.29173036040195)	(85, 36.356583271237255)	(90, 36.29648540992027)	(95, 36.43417841385868)	(100, 36.21392006530964)	(105, 36.10059024272845)	(110, 36.07439672870528)	(115, 36.13227070795302)	(120, 36.00246430359214)	(125, 35.97326018999263)	(130, 35.73837499664372)	(135, 35.92291910774646)	(140, 35.46786809682276)	(145, 34.69396336096896)	(150, 32.57341414376876)
SRR23609079_1	(1, 34.37657444145608)	(2, 35.58577210875296)	(3, 36.14763134769526)	(4, 36.42417383431417)	(5, 35.918368705562806)	(6, 36.31902910553085)	(7, 36.37110217559183)	(8, 36.395760658269644)	(9, 36.43716880142732)	(10, 36.45900194391926)	(15, 36.39724655819775)	(20, 36.449037360530454)	(25, 36.590669187548265)	(30, 36.455971560194925)	(35, 36.39830705264452)	(40, 36.3653991472937)	(45, 36.48069182964697)	(50, 36.531025794953194)	(55, 36.16841914480572)	(60, 36.53254622719946)	(65, 36.426055155255725)	(70, 36.23481358195156)	(75, 35.6437181392101)	(80, 35.705721940438785)	(85, 36.38418870592153)	(90, 36.34079373069288)	(95, 36.41581285458412)	(100, 36.18666579733192)	(105, 36.1847609492819)	(110, 35.77360056450969)	(115, 35.727815838157845)	(120, 35.98894563126856)	(125, 36.18159756774748)	(130, 35.12047662996515)	(135, 36.05569217157891)	(140, 34.54768439409754)	(145, 34.19645679083443)	(150, 35.36860986547085)
SRR23609079_2	(1, 32.17139775783559)	(2, 35.869757409527864)	(3, 35.996058903416504)	(4, 36.04140814315767)	(5, 35.43288152744122)	(6, 36.2102361995047)	(7, 36.36529704684047)	(8, 36.24772987510985)	(9, 36.34620403163529)	(10, 36.31493089766463)	(15, 36.269158256331046)	(20, 36.31116821558864)	(25, 36.29705216627167)	(30, 36.26592016616515)	(35, 36.28634018299795)	(40, 36.193717055817565)	(45, 36.35546314384704)	(50, 36.337450461953594)	(55, 36.15701116669641)	(60, 36.349752039318695)	(65, 36.23782353488571)	(70, 36.09157913741664)	(75, 35.977206441205524)	(80, 36.18354524566018)	(85, 36.261205411751845)	(90, 36.182209717434105)	(95, 36.303413938813144)	(100, 36.111636324695795)	(105, 36.05301385968802)	(110, 35.68172633888066)	(115, 35.89799446628435)	(120, 35.917590816301455)	(125, 35.992367642367626)	(130, 35.59403792683271)	(135, 35.97020617235554)	(140, 35.11766270027781)	(145, 34.896711856825654)	(150, 34.391852819601205)
SRR23609080_1	(1, 34.53277671295211)	(2, 35.74176445443389)	(3, 36.19228913004509)	(4, 36.435984059789575)	(5, 36.361122985066395)	(6, 36.32331324719736)	(7, 36.442271893658386)	(8, 36.49326402007694)	(9, 36.432564360667946)	(10, 36.48314143489472)	(15, 36.39452848140539)	(20, 36.49393968643565)	(25, 36.61074171619255)	(30, 36.4730533224859)	(35, 36.451317873273595)	(40, 36.4111036339567)	(45, 36.525469749500544)	(50, 36.578788807914684)	(55, 36.178270791969695)	(60, 36.58330757353978)	(65, 36.450359753574766)	(70, 36.324608370818034)	(75, 35.639481354047106)	(80, 35.78639371036178)	(85, 36.47126355417123)	(90, 36.388031966377426)	(95, 36.47782840279791)	(100, 36.25987869001638)	(105, 36.4136501201226)	(110, 35.92180840385257)	(115, 35.821970713237306)	(120, 36.066371748181524)	(125, 36.239863823783445)	(130, 35.12338726207332)	(135, 36.14774221338573)	(140, 34.483825039143156)	(145, 34.16177783040485)	(150, 35.23894062059628)
SRR23609080_2	(1, 32.3458929137767)	(2, 35.992222942320154)	(3, 36.16176004191889)	(4, 36.10380441527282)	(5, 35.98676245501303)	(6, 36.31118572551399)	(7, 36.47380069221329)	(8, 36.44340260062602)	(9, 36.38963886322583)	(10, 36.39873553867156)	(15, 36.34790612374346)	(20, 36.39448021952262)	(25, 36.38374953461756)	(30, 36.38049116807545)	(35, 36.4080201485236)	(40, 36.312076103577816)	(45, 36.46202397272641)	(50, 36.43024299120553)	(55, 36.239102310765155)	(60, 36.44626244127121)	(65, 36.33751484949158)	(70, 36.25967567475094)	(75, 36.05830610324548)	(80, 36.301320046585936)	(85, 36.35943474058429)	(90, 36.29542123486046)	(95, 36.43835541221248)	(100, 36.22522519234982)	(105, 36.24933201968828)	(110, 35.84335748696684)	(115, 36.10257186586928)	(120, 36.07703442117905)	(125, 36.12482324365935)	(130, 35.71769498764371)	(135, 36.14224262654708)	(140, 35.21818105753717)	(145, 34.98629937600879)	(150, 34.3415268726615)
SRR23609081_1	(1, 33.679791961219955)	(2, 35.57189456675419)	(3, 36.100151484548576)	(4, 36.4013936578469)	(5, 36.42455059583922)	(6, 36.35133306402747)	(7, 36.287043021611794)	(8, 36.341183599272874)	(9, 36.340315087861036)	(10, 36.377020803878004)	(15, 36.363205413047865)	(20, 36.35947283377096)	(25, 36.27340133306403)	(30, 36.30955968491214)	(35, 36.32310148803508)	(40, 36.294267071271484)	(45, 36.32058204894878)	(50, 36.35154282849781)	(55, 36.36934839778511)	(60, 36.21975942020047)	(65, 36.199493065530234)	(70, 36.07179636109746)	(75, 35.85124200245468)	(80, 35.452041808447724)	(85, 35.54519828218834)	(90, 35.31194910806373)	(95, 35.07403882089411)	(100, 34.96419072673712)	(105, 34.86556197526318)	(110, 34.771057947494654)	(115, 34.55948200769351)	(120, 34.48014730991201)	(125, 34.45011560098909)	(130, 34.48665066300254)	(135, 34.356885676613174)	(140, 34.3829789349912)	(145, 34.6772255734642)	(150, 36.154903073568505)
SRR23609081_2	(1, 32.442365178751764)	(2, 36.03317511613815)	(3, 35.99393051908705)	(4, 36.218248838618464)	(5, 36.186406786507774)	(6, 36.37884265804888)	(7, 36.3159361745102)	(8, 36.38377095536255)	(9, 36.38623510401939)	(10, 36.348885073722485)	(15, 36.36024237527772)	(20, 36.30649565744294)	(25, 36.234180973540695)	(30, 36.27597657038982)	(35, 36.305102518917906)	(40, 36.2781712519414)	(45, 36.29304407406897)	(50, 36.29583604607218)	(55, 36.27998606716192)	(60, 36.20324755265743)	(65, 36.18054656026656)	(70, 35.95427310901441)	(75, 36.13356738579097)	(80, 36.159332690681936)	(85, 36.19629196031026)	(90, 36.16231390239786)	(95, 36.14526401133721)	(100, 36.108530659600675)	(105, 35.935957545977786)	(110, 35.777813205498866)	(115, 35.5653920927996)	(120, 35.52079917746075)	(125, 35.41178412304132)	(130, 35.34994149489305)	(135, 35.28552454593257)	(140, 35.20727075505381)	(145, 35.371109801775205)	(150, 35.26990459144205)
