Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR23609077_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.0)	(17.0, 1.5)	(18.0, 1.5)	(19.0, 0.5)	(20.0, 0.5)	(21.0, 0.5)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 1.0)	(25.0, 1.0)	(26.0, 3.5)	(27.0, 8.0)	(28.0, 16.0)	(29.0, 28.5)	(30.0, 60.0)	(31.0, 134.0)	(32.0, 402.5)	(33.0, 1932.0)	(34.0, 8246.0)	(35.0, 20252.0)	(36.0, 17549.5)	(37.0, 6332.5)	(38.0, 12099.0)	(39.0, 28917.0)	(40.0, 25090.5)	(41.0, 6917.0)	(42.0, 1225.5)	(43.0, 220.0)	(44.0, 68.5)	(45.0, 34.5)	(46.0, 33.5)	(47.0, 28.5)	(48.0, 23.5)	(49.0, 16.0)	(50.0, 3.0)	(51.0, 0.0)	(52.0, 0.5)	(53.0, 0.5)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 1.0)	(57.0, 1.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.5)	(61.0, 0.5)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 0.5)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609077_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.5)	(12.0, 0.5)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 2.5)	(20.0, 3.0)	(21.0, 5.0)	(22.0, 4.0)	(23.0, 3.0)	(24.0, 6.0)	(25.0, 7.0)	(26.0, 6.5)	(27.0, 8.5)	(28.0, 14.0)	(29.0, 26.0)	(30.0, 44.0)	(31.0, 106.5)	(32.0, 362.0)	(33.0, 1832.0)	(34.0, 7843.0)	(35.0, 19139.5)	(36.0, 16687.5)	(37.0, 6321.0)	(38.0, 12607.0)	(39.0, 29586.0)	(40.0, 25790.0)	(41.0, 7522.0)	(42.0, 1381.0)	(43.0, 248.5)	(44.0, 81.0)	(45.0, 47.0)	(46.0, 45.0)	(47.0, 31.5)	(48.0, 18.5)	(49.0, 14.0)	(50.0, 9.0)	(51.0, 4.5)	(52.0, 3.0)	(53.0, 3.5)	(54.0, 2.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.5)	(63.0, 0.5)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 1.5)	(100.0, 14.0)
SRR23609078_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.5)	(12.0, 3.5)	(13.0, 4.5)	(14.0, 3.0)	(15.0, 0.5)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 0.5)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.5)	(25.0, 1.5)	(26.0, 3.5)	(27.0, 5.0)	(28.0, 8.0)	(29.0, 15.5)	(30.0, 37.5)	(31.0, 94.0)	(32.0, 162.0)	(33.0, 265.5)	(34.0, 958.0)	(35.0, 31574.5)	(36.0, 31370.0)	(37.0, 836.0)	(38.0, 997.0)	(39.0, 30955.0)	(40.0, 32736.0)	(41.0, 2751.5)	(42.0, 303.0)	(43.0, 108.5)	(44.0, 44.5)	(45.0, 22.5)	(46.0, 19.0)	(47.0, 15.0)	(48.0, 15.0)	(49.0, 11.0)	(50.0, 1.5)	(51.0, 0.5)	(52.0, 1.0)	(53.0, 2.0)	(54.0, 2.0)	(55.0, 0.5)	(56.0, 0.5)	(57.0, 1.0)	(58.0, 0.5)	(59.0, 0.5)	(60.0, 0.5)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.5)	(66.0, 0.5)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609078_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 1.0)	(6.0, 0.5)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 0.5)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 2.0)	(20.0, 1.5)	(21.0, 1.5)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 2.5)	(25.0, 6.5)	(26.0, 9.0)	(27.0, 7.5)	(28.0, 11.0)	(29.0, 21.5)	(30.0, 41.0)	(31.0, 85.0)	(32.0, 168.5)	(33.0, 256.0)	(34.0, 943.5)	(35.0, 29723.0)	(36.0, 29728.0)	(37.0, 1067.5)	(38.0, 1016.0)	(39.0, 32284.0)	(40.0, 34297.5)	(41.0, 3050.5)	(42.0, 381.5)	(43.0, 137.5)	(44.0, 63.5)	(45.0, 37.5)	(46.0, 26.0)	(47.0, 19.5)	(48.0, 18.0)	(49.0, 15.0)	(50.0, 6.0)	(51.0, 0.5)	(52.0, 0.5)	(53.0, 0.5)	(54.0, 0.5)	(55.0, 0.5)	(56.0, 0.0)	(57.0, 0.5)	(58.0, 1.0)	(59.0, 0.5)	(60.0, 0.0)	(61.0, 0.5)	(62.0, 0.5)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 1.0)	(99.0, 4.0)	(100.0, 15.0)
SRR23609079_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 0.5)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.5)	(27.0, 3.0)	(28.0, 8.0)	(29.0, 14.5)	(30.0, 31.5)	(31.0, 71.5)	(32.0, 215.0)	(33.0, 1067.5)	(34.0, 4625.5)	(35.0, 13097.5)	(36.0, 11380.0)	(37.0, 3000.0)	(38.0, 5409.5)	(39.0, 15250.5)	(40.0, 14149.5)	(41.0, 4842.5)	(42.0, 1792.5)	(43.0, 306.0)	(44.0, 55.0)	(45.0, 26.5)	(46.0, 27.0)	(47.0, 23.5)	(48.0, 17.5)	(49.0, 15.0)	(50.0, 15.5)	(51.0, 18.5)	(52.0, 12.0)	(53.0, 4.0)	(54.0, 3.0)	(55.0, 2.0)	(56.0, 0.5)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 1.0)	(63.0, 1.0)	(64.0, 0.5)	(65.0, 0.5)	(66.0, 0.5)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609079_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 1.5)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 1.0)	(20.0, 1.0)	(21.0, 1.0)	(22.0, 1.5)	(23.0, 2.5)	(24.0, 3.5)	(25.0, 5.0)	(26.0, 8.5)	(27.0, 11.5)	(28.0, 12.0)	(29.0, 22.0)	(30.0, 41.0)	(31.0, 72.5)	(32.0, 202.0)	(33.0, 973.0)	(34.0, 4222.0)	(35.0, 11831.0)	(36.0, 10335.0)	(37.0, 2973.0)	(38.0, 5822.5)	(39.0, 16367.0)	(40.0, 15111.0)	(41.0, 5099.5)	(42.0, 1886.5)	(43.0, 326.0)	(44.0, 51.5)	(45.0, 32.0)	(46.0, 34.5)	(47.0, 23.5)	(48.0, 19.5)	(49.0, 19.0)	(50.0, 12.5)	(51.0, 11.5)	(52.0, 8.5)	(53.0, 4.5)	(54.0, 4.0)	(55.0, 3.0)	(56.0, 1.0)	(57.0, 0.5)	(58.0, 0.5)	(59.0, 0.5)	(60.0, 0.5)	(61.0, 1.0)	(62.0, 1.5)	(63.0, 0.5)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.5)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 1.0)	(99.0, 2.5)	(100.0, 11.0)
SRR23609080_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.0)	(19.0, 0.5)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 1.5)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 5.0)	(26.0, 2.0)	(27.0, 4.5)	(28.0, 6.5)	(29.0, 18.5)	(30.0, 57.0)	(31.0, 119.0)	(32.0, 173.0)	(33.0, 251.5)	(34.0, 1007.0)	(35.0, 35716.5)	(36.0, 35494.0)	(37.0, 836.0)	(38.0, 1056.5)	(39.0, 29092.0)	(40.0, 30565.5)	(41.0, 6410.0)	(42.0, 4184.5)	(43.0, 236.0)	(44.0, 168.0)	(45.0, 55.0)	(46.0, 42.0)	(47.0, 32.0)	(48.0, 28.5)	(49.0, 18.5)	(50.0, 17.0)	(51.0, 28.0)	(52.0, 22.0)	(53.0, 9.5)	(54.0, 8.0)	(55.0, 5.0)	(56.0, 4.5)	(57.0, 5.0)	(58.0, 5.5)	(59.0, 5.0)	(60.0, 2.5)	(61.0, 1.0)	(62.0, 2.0)	(63.0, 3.5)	(64.0, 5.5)	(65.0, 3.5)	(66.0, 0.0)	(67.0, 0.5)	(68.0, 0.5)	(69.0, 0.5)	(70.0, 1.0)	(71.0, 0.5)	(72.0, 0.5)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609080_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 2.5)	(17.0, 3.5)	(18.0, 2.5)	(19.0, 1.5)	(20.0, 1.5)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 1.5)	(24.0, 3.5)	(25.0, 5.5)	(26.0, 8.0)	(27.0, 11.0)	(28.0, 14.0)	(29.0, 23.0)	(30.0, 45.0)	(31.0, 85.0)	(32.0, 146.0)	(33.0, 229.5)	(34.0, 865.0)	(35.0, 31404.0)	(36.0, 31539.5)	(37.0, 1127.5)	(38.0, 1237.0)	(39.0, 32442.0)	(40.0, 34162.0)	(41.0, 7083.0)	(42.0, 4532.5)	(43.0, 262.5)	(44.0, 150.5)	(45.0, 62.5)	(46.0, 57.0)	(47.0, 45.5)	(48.0, 33.0)	(49.0, 19.0)	(50.0, 17.0)	(51.0, 31.5)	(52.0, 30.5)	(53.0, 12.5)	(54.0, 9.5)	(55.0, 5.5)	(56.0, 2.0)	(57.0, 4.0)	(58.0, 3.5)	(59.0, 3.0)	(60.0, 2.5)	(61.0, 0.0)	(62.0, 3.0)	(63.0, 3.5)	(64.0, 3.0)	(65.0, 4.0)	(66.0, 2.0)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.5)	(71.0, 0.5)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 3.0)	(100.0, 14.0)
SRR23609081_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.5)	(5.0, 1.0)	(6.0, 0.5)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 1.5)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.5)	(21.0, 1.5)	(22.0, 2.5)	(23.0, 3.5)	(24.0, 5.0)	(25.0, 10.0)	(26.0, 25.0)	(27.0, 45.5)	(28.0, 56.5)	(29.0, 66.0)	(30.0, 101.0)	(31.0, 266.5)	(32.0, 2601.0)	(33.0, 5039.0)	(34.0, 4694.5)	(35.0, 3724.0)	(36.0, 3195.5)	(37.0, 3926.5)	(38.0, 7178.5)	(39.0, 8400.0)	(40.0, 7204.5)	(41.0, 8118.0)	(42.0, 7710.0)	(43.0, 6040.0)	(44.0, 7014.5)	(45.0, 6399.0)	(46.0, 3703.5)	(47.0, 2758.5)	(48.0, 2084.0)	(49.0, 2172.0)	(50.0, 2743.5)	(51.0, 2360.5)	(52.0, 1433.5)	(53.0, 557.0)	(54.0, 168.0)	(55.0, 57.0)	(56.0, 35.0)	(57.0, 26.0)	(58.0, 27.0)	(59.0, 22.0)	(60.0, 16.0)	(61.0, 11.5)	(62.0, 9.0)	(63.0, 7.5)	(64.0, 6.5)	(65.0, 4.5)	(66.0, 5.0)	(67.0, 6.5)	(68.0, 3.0)	(69.0, 1.0)	(70.0, 0.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.5)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.5)	(77.0, 0.5)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR23609081_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 1.5)	(23.0, 3.5)	(24.0, 7.5)	(25.0, 11.0)	(26.0, 15.5)	(27.0, 20.5)	(28.0, 33.0)	(29.0, 57.5)	(30.0, 89.0)	(31.0, 262.5)	(32.0, 2707.5)	(33.0, 5139.5)	(34.0, 4808.5)	(35.0, 3903.5)	(36.0, 3589.5)	(37.0, 4179.5)	(38.0, 7174.5)	(39.0, 9139.5)	(40.0, 8284.0)	(41.0, 8707.0)	(42.0, 7944.0)	(43.0, 6811.0)	(44.0, 7155.5)	(45.0, 4880.0)	(46.0, 2624.0)	(47.0, 2321.0)	(48.0, 2609.0)	(49.0, 3187.5)	(50.0, 2185.5)	(51.0, 859.0)	(52.0, 452.5)	(53.0, 275.5)	(54.0, 92.5)	(55.0, 33.0)	(56.0, 36.0)	(57.0, 29.5)	(58.0, 19.0)	(59.0, 12.5)	(60.0, 13.0)	(61.0, 14.5)	(62.0, 13.0)	(63.0, 7.5)	(64.0, 4.0)	(65.0, 5.0)	(66.0, 3.0)	(67.0, 1.5)	(68.0, 2.0)	(69.0, 3.0)	(70.0, 2.0)	(71.0, 0.5)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 1.0)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 5.0)	(100.0, 19.5)
