Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23609077_1	(24.0, 2.0)	(25.0, 5.0)	(26.0, 13.0)	(27.0, 55.0)	(28.0, 167.0)	(29.0, 440.0)	(30.0, 851.0)	(31.0, 1402.0)	(32.0, 2079.0)	(33.0, 3217.0)	(34.0, 5481.0)	(35.0, 14685.0)	(36.0, 99972.0)	(37.0, 732.0)		
SRR23609077_2	(22.0, 2.0)	(23.0, 12.0)	(24.0, 10.0)	(25.0, 38.0)	(26.0, 63.0)	(27.0, 164.0)	(28.0, 345.0)	(29.0, 681.0)	(30.0, 986.0)	(31.0, 1562.0)	(32.0, 2260.0)	(33.0, 3290.0)	(34.0, 5452.0)	(35.0, 12973.0)	(36.0, 100772.0)	(37.0, 491.0)
SRR23609078_1	(24.0, 1.0)	(25.0, 4.0)	(26.0, 19.0)	(27.0, 70.0)	(28.0, 179.0)	(29.0, 463.0)	(30.0, 967.0)	(31.0, 1600.0)	(32.0, 2300.0)	(33.0, 3740.0)	(34.0, 6253.0)	(35.0, 15831.0)	(36.0, 100592.0)	(37.0, 731.0)		
SRR23609078_2	(22.0, 3.0)	(23.0, 4.0)	(24.0, 17.0)	(25.0, 25.0)	(26.0, 71.0)	(27.0, 174.0)	(28.0, 374.0)	(29.0, 684.0)	(30.0, 1064.0)	(31.0, 1671.0)	(32.0, 2415.0)	(33.0, 3663.0)	(34.0, 6204.0)	(35.0, 14213.0)	(36.0, 101624.0)	(37.0, 544.0)
SRR23609079_1	(25.0, 4.0)	(26.0, 9.0)	(27.0, 45.0)	(28.0, 116.0)	(29.0, 260.0)	(30.0, 562.0)	(31.0, 906.0)	(32.0, 1383.0)	(33.0, 2222.0)	(34.0, 3751.0)	(35.0, 9715.0)	(36.0, 55803.0)	(37.0, 330.0)			
SRR23609079_2	(22.0, 2.0)	(23.0, 2.0)	(24.0, 10.0)	(25.0, 21.0)	(26.0, 62.0)	(27.0, 109.0)	(28.0, 256.0)	(29.0, 435.0)	(30.0, 713.0)	(31.0, 1105.0)	(32.0, 1554.0)	(33.0, 2353.0)	(34.0, 3907.0)	(35.0, 9339.0)	(36.0, 55028.0)	(37.0, 210.0)
SRR23609080_1	(25.0, 5.0)	(26.0, 27.0)	(27.0, 73.0)	(28.0, 201.0)	(29.0, 493.0)	(30.0, 974.0)	(31.0, 1665.0)	(32.0, 2491.0)	(33.0, 3893.0)	(34.0, 6583.0)	(35.0, 16970.0)	(36.0, 110791.0)	(37.0, 876.0)			
SRR23609080_2	(22.0, 2.0)	(23.0, 3.0)	(24.0, 17.0)	(25.0, 38.0)	(26.0, 88.0)	(27.0, 184.0)	(28.0, 371.0)	(29.0, 697.0)	(30.0, 1057.0)	(31.0, 1812.0)	(32.0, 2566.0)	(33.0, 3772.0)	(34.0, 6526.0)	(35.0, 15453.0)	(36.0, 111681.0)	(37.0, 775.0)
SRR23609081_1	(25.0, 7.0)	(26.0, 54.0)	(27.0, 162.0)	(28.0, 385.0)	(29.0, 754.0)	(30.0, 1307.0)	(31.0, 1843.0)	(32.0, 2863.0)	(33.0, 4670.0)	(34.0, 10003.0)	(35.0, 26081.0)	(36.0, 50478.0)	(37.0, 413.0)			
SRR23609081_2	(23.0, 3.0)	(24.0, 6.0)	(25.0, 26.0)	(26.0, 80.0)	(27.0, 190.0)	(28.0, 422.0)	(29.0, 714.0)	(30.0, 1148.0)	(31.0, 1481.0)	(32.0, 2079.0)	(33.0, 3120.0)	(34.0, 5035.0)	(35.0, 13020.0)	(36.0, 71313.0)	(37.0, 383.0)	
SRR23609082_1	(23.0, 1.0)	(24.0, 3.0)	(25.0, 20.0)	(26.0, 82.0)	(27.0, 276.0)	(28.0, 718.0)	(29.0, 1422.0)	(30.0, 2360.0)	(31.0, 3721.0)	(32.0, 5403.0)	(33.0, 10026.0)	(34.0, 28757.0)	(35.0, 51139.0)	(36.0, 95939.0)	(37.0, 1153.0)	
SRR23609082_2	(23.0, 2.0)	(24.0, 26.0)	(25.0, 82.0)	(26.0, 205.0)	(27.0, 475.0)	(28.0, 932.0)	(29.0, 1620.0)	(30.0, 2367.0)	(31.0, 3448.0)	(32.0, 4722.0)	(33.0, 6708.0)	(34.0, 10639.0)	(35.0, 27620.0)	(36.0, 141534.0)	(37.0, 640.0)	
SRR23609083_1	(23.0, 1.0)	(24.0, 0.0)	(25.0, 13.0)	(26.0, 65.0)	(27.0, 197.0)	(28.0, 550.0)	(29.0, 1099.0)	(30.0, 1885.0)	(31.0, 2719.0)	(32.0, 4011.0)	(33.0, 6074.0)	(34.0, 10396.0)	(35.0, 34136.0)	(36.0, 77537.0)	(37.0, 517.0)	
SRR23609083_2	(22.0, 1.0)	(23.0, 4.0)	(24.0, 13.0)	(25.0, 44.0)	(26.0, 162.0)	(27.0, 329.0)	(28.0, 634.0)	(29.0, 1120.0)	(30.0, 1747.0)	(31.0, 2456.0)	(32.0, 3395.0)	(33.0, 4778.0)	(34.0, 7580.0)	(35.0, 19691.0)	(36.0, 96774.0)	(37.0, 472.0)
