Sample	Unique Reads	Duplicate Reads
SRR23609077_1	5627.0	123474.0
SRR23609077_2	6407.0	122694.0
SRR23609078_1	1463.0	131287.0
SRR23609078_2	1881.0	130869.0
SRR23609079_1	3921.0	71185.0
SRR23609079_2	4322.0	70784.0
SRR23609080_1	1877.0	143165.0
SRR23609080_2	2299.0	142743.0
SRR23609081_1	14999.0	84021.0
SRR23609081_2	15254.0	83766.0
SRR23609082_1	17486.0	183534.0
SRR23609082_2	18324.0	182696.0
SRR23609083_1	8192.0	131008.0
SRR23609083_2	8639.0	130561.0
SRR23609084_1	23457.0	157578.0
SRR23609084_2	24007.0	157028.0
SRR23609085_1	16722.0	119964.0
SRR23609085_2	17168.0	119518.0
SRR23609086_1	9880.0	183819.0
SRR23609086_2	10741.0	182958.0
