Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23609077_1	(1.0, 2.831116722566053)	(2.0, 1.0611846538756478)	(3.0, 0.6599484124832495)	(4.0, 0.5731946305605689)	(5.0, 0.38729366929768166)	(6.0, 0.3810969705889187)	(7.0, 0.38496990728189556)	(8.0, 0.29124483931185663)	(9.0, 0.36250687446263)	('>10', 5.217620312778367)	('>50', 3.3315001432986575)	('>100', 7.092121672179147)	('>500', 5.16030084972231)	('>1k', 25.65510724161703)	('>5k', 0.0)	('>10k+', 46.610793099975986)
SRR23609077_2	(1.0, 3.3733278595828073)	(2.0, 1.1603318332158543)	(3.0, 0.6948048427200408)	(4.0, 0.4709491018659809)	(5.0, 0.39891247937661206)	(6.0, 0.3903920186520631)	(7.0, 0.3415930163205552)	(8.0, 0.34081842898195985)	(9.0, 0.36947816050998833)	('>10', 5.395775400655301)	('>50', 3.5251469779474984)	('>100', 7.3671001773805)	('>500', 4.613442188673984)	('>1k', 26.06718770574976)	('>5k', 0.0)	('>10k+', 45.490739808367096)
SRR23609078_1	(1.0, 0.6696798493408663)	(2.0, 0.1958568738229755)	(3.0, 0.1672316384180791)	(4.0, 0.17175141242937855)	(5.0, 0.13935969868173256)	(6.0, 0.16271186440677965)	(7.0, 0.09491525423728814)	(8.0, 0.1687382297551789)	(9.0, 0.08813559322033898)	('>10', 2.4738229755178907)	('>50', 0.3231638418079096)	('>100', 0.47156308851224105)	('>500', 1.12090395480226)	('>1k', 2.9318267419962334)	('>5k', 0.0)	('>10k+', 90.82033898305085)
SRR23609078_2	(1.0, 0.9453860640301318)	(2.0, 0.2455743879472693)	(3.0, 0.18983050847457628)	(4.0, 0.11148775894538607)	(5.0, 0.1544256120527307)	(6.0, 0.13559322033898305)	(7.0, 0.12655367231638417)	(8.0, 0.15668549905838042)	(9.0, 0.1694915254237288)	('>10', 2.64030131826742)	('>50', 0.23879472693032014)	('>100', 0.6184557438794727)	('>500', 1.1450094161958568)	('>1k', 2.8783427495291902)	('>5k', 0.0)	('>10k+', 90.24406779661017)
SRR23609079_1	(1.0, 3.404521609458632)	(2.0, 1.278193486539025)	(3.0, 0.8428088301866695)	(4.0, 0.6124677122999493)	(5.0, 0.5458951348760418)	(6.0, 0.42340159241605196)	(7.0, 0.3728064335738822)	(8.0, 0.38345804596170746)	(9.0, 0.37147498202540413)	('>10', 6.404281948179906)	('>50', 3.079647431629963)	('>100', 10.129683380821772)	('>500', 13.879050941336244)	('>1k', 7.786328655500227)	('>5k', 0.0)	('>10k+', 50.485979815194526)
SRR23609079_2	(1.0, 3.889169973104679)	(2.0, 1.3207999360903258)	(3.0, 0.7988709290868905)	(4.0, 0.617793518493862)	(5.0, 0.6191249700423401)	(6.0, 0.4393790109977898)	(7.0, 0.4100870769312705)	(8.0, 0.3515032087982318)	(9.0, 0.2636274065986739)	('>10', 6.998109338801162)	('>50', 2.75077889915586)	('>100', 9.075173754427077)	('>500', 15.293052485820041)	('>1k', 7.928793971187388)	('>5k', 0.0)	('>10k+', 49.24373552046441)
SRR23609080_1	(1.0, 0.8576826022807188)	(2.0, 0.24820396850567422)	(3.0, 0.18615297637925565)	(4.0, 0.12685980612512238)	(5.0, 0.12754926159319369)	(6.0, 0.12410198425283711)	(7.0, 0.10617614208298287)	(8.0, 0.1323754498696929)	(9.0, 0.09928158740226968)	('>10', 2.2221149735938557)	('>50', 0.34265936763144467)	('>100', 0.6129259111154011)	('>500', 0.6122364556473298)	('>1k', 2.331738393017195)	('>5k', 5.3805104728285595)	('>10k+', 86.48943064767447)
SRR23609080_2	(1.0, 1.0983025606376084)	(2.0, 0.28405565284538276)	(3.0, 0.215110106038251)	(4.0, 0.17374277795397197)	(5.0, 0.11031287489141077)	(6.0, 0.12410198425283711)	(7.0, 0.10134995380648364)	(8.0, 0.12134416238055183)	(9.0, 0.16133257952868824)	('>10', 2.4110257718453965)	('>50', 0.47779263937342287)	('>100', 0.6012051681581887)	('>500', 0.5970684353497607)	('>1k', 2.3593166117400477)	('>5k', 5.774879000565353)	('>10k+', 85.38905972063264)
SRR23609081_1	(1.0, 11.276509796000807)	(2.0, 3.090284790951323)	(3.0, 1.8874974752575238)	(4.0, 1.369420319127449)	(5.0, 1.171480508988083)	(6.0, 0.8664916178549787)	(7.0, 0.7776206826903656)	(8.0, 0.7675217127852959)	(9.0, 0.63623510401939)	('>10', 10.519087053120582)	('>50', 5.1696626944051705)	('>100', 20.64633407392446)	('>500', 14.318319531407797)	('>1k', 27.503534639466775)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609081_2	(1.0, 11.557261159361746)	(2.0, 3.110482730761462)	(3.0, 1.8147848919410219)	(4.0, 1.4219349626338114)	(5.0, 1.0553423550797818)	(6.0, 0.9149666733993133)	(7.0, 0.763482124823268)	(8.0, 0.7271258331650172)	(9.0, 0.6453241769339527)	('>10', 10.30296909715209)	('>50', 5.468592203595233)	('>100', 20.813976974348616)	('>500', 13.05493839628358)	('>1k', 28.348818420521106)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609082_1	(1.0, 6.325241269525421)	(2.0, 1.9052830564122973)	(3.0, 1.1983882200776044)	(4.0, 0.8377275892945976)	(5.0, 0.5944682121181972)	(6.0, 0.5253208635956621)	(7.0, 0.4875136802308228)	(8.0, 0.3780718336483932)	(9.0, 0.32683315093025567)	('>10', 6.030743209630883)	('>50', 3.733459357277883)	('>100', 14.446821211819719)	('>500', 12.188339468709582)	('>1k', 41.61327231121281)	('>5k', 9.40851656551587)	('>10k+', 0.0)
SRR23609082_2	(1.0, 6.755049248830962)	(2.0, 1.8714555765595462)	(3.0, 1.173017610188041)	(4.0, 0.8297681822704208)	(5.0, 0.6740622823599641)	(6.0, 0.5760620833747886)	(7.0, 0.466620236792359)	(8.0, 0.38205153716048157)	(9.0, 0.32683315093025567)	('>10', 6.02527111730176)	('>50', 3.834941796836136)	('>100', 14.726395383543926)	('>500', 11.43468311610785)	('>1k', 44.38364341856531)	('>5k', 6.540145259178192)	('>10k+', 0.0)
SRR23609083_1	(1.0, 4.25)	(2.0, 1.1724137931034484)	(3.0, 0.6508620689655172)	(4.0, 0.5201149425287356)	(5.0, 0.4166666666666667)	(6.0, 0.3146551724137931)	(7.0, 0.2514367816091954)	(8.0, 0.30459770114942525)	(9.0, 0.24568965517241378)	('>10', 6.199712643678161)	('>50', 4.238505747126436)	('>100', 18.40948275862069)	('>500', 10.500718390804597)	('>1k', 48.931034482758626)	('>5k', 3.594109195402299)	('>10k+', 0.0)
SRR23609083_2	(1.0, 4.591235632183908)	(2.0, 1.1580459770114941)	(3.0, 0.646551724137931)	(4.0, 0.5258620689655172)	(5.0, 0.4166666666666667)	(6.0, 0.3232758620689655)	(7.0, 0.23132183908045975)	(8.0, 0.26436781609195403)	(9.0, 0.24568965517241378)	('>10', 5.987068965517241)	('>50', 4.288793103448276)	('>100', 18.720545977011493)	('>500', 10.161637931034482)	('>1k', 52.43893678160919)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609084_1	(1.0, 9.750048333195238)	(2.0, 2.4558786974894358)	(3.0, 1.627309636258182)	(4.0, 1.1975584831662385)	(5.0, 0.9721876985113376)	(6.0, 0.7689120888226033)	(7.0, 0.6186648990526694)	(8.0, 0.5081890242218357)	(9.0, 0.5319413373104648)	('>10', 8.723727456016793)	('>50', 4.1748833098572105)	('>100', 17.08896069820753)	('>500', 9.54898224100312)	('>1k', 42.03275609688734)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609084_2	(1.0, 10.08534261330682)	(2.0, 2.4326787637749607)	(3.0, 1.526224210787969)	(4.0, 1.2373297981053388)	(5.0, 0.9141878642251497)	(6.0, 0.7821691938023034)	(7.0, 0.6998646670533323)	(8.0, 0.6407600740188362)	(9.0, 0.41759880686055184)	('>10', 8.756870218466043)	('>50', 4.02518849946143)	('>100', 17.060236970751514)	('>500', 11.04482558621261)	('>1k', 40.37672273317314)	('>5k', 0.0)	('>10k+', 0.0)
SRR23609085_1	(1.0, 9.772763852918368)	(2.0, 2.0836076847665455)	(3.0, 1.1786137570782669)	(4.0, 0.8457340181145107)	(5.0, 0.6621014588180208)	(6.0, 0.5135858829726526)	(7.0, 0.40969814026308476)	(8.0, 0.34531700393602854)	(9.0, 0.37531276063386154)	('>10', 6.029147096264431)	('>50', 4.088202156768067)	('>100', 16.090894458832654)	('>500', 12.179008823142091)	('>1k', 40.76130693706744)	('>5k', 4.664705968423979)	('>10k+', 0.0)
SRR23609085_2	(1.0, 10.09393793073175)	(2.0, 2.0382482478088466)	(3.0, 1.2334840437206445)	(4.0, 0.8896302474284126)	(5.0, 0.636495325051578)	(6.0, 0.5618717352179448)	(7.0, 0.3892132332499305)	(8.0, 0.392139648537524)	(9.0, 0.362143891839691)	('>10', 5.835272083461364)	('>50', 3.8723790293080493)	('>100', 17.731881831350687)	('>500', 10.271717659453053)	('>1k', 41.15271498178307)	('>5k', 4.53887011105746)	('>10k+', 0.0)
SRR23609086_1	(1.0, 3.7336279485180617)	(2.0, 0.998456367869736)	(3.0, 0.6288106804887996)	(4.0, 0.3820360456171689)	(5.0, 0.3097589559058126)	(6.0, 0.2911734185514639)	(7.0, 0.2674252319320182)	(8.0, 0.2354168064884176)	(9.0, 0.25090475428370823)	('>10', 4.428004274673592)	('>50', 3.2359485593627224)	('>100', 15.966009117238602)	('>500', 11.086273031869034)	('>1k', 45.7978616306744)	('>5k', 12.388293176526465)	('>10k+', 0.0)
