Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR23609077_1	(35, 69.0)	(40, 46.0)	(45, 33.0)	(50, 64.0)	(55, 87.0)	(60, 38.0)	(65, 121.0)	(70, 152.0)	(75, 88.0)	(80, 96.0)	(85, 78.0)	(90, 73.0)	(95, 61.0)	(100, 142.0)	(105, 304.0)	(110, 134.0)	(115, 193.0)	(120, 76.0)	(125, 190.0)	(130, 237.0)	(135, 81.0)	(140, 222.0)	(145, 64970.0)	(150, 61546.0)
SRR23609077_2	(35, 132.0)	(40, 90.0)	(45, 62.0)	(50, 62.0)	(55, 87.0)	(60, 70.0)	(65, 120.0)	(70, 158.0)	(75, 89.0)	(80, 67.0)	(85, 109.0)	(90, 70.0)	(95, 46.0)	(100, 97.0)	(105, 129.0)	(110, 110.0)	(115, 81.0)	(120, 60.0)	(125, 104.0)	(130, 115.0)	(135, 141.0)	(140, 177.0)	(145, 49339.0)	(150, 77586.0)
SRR23609078_1	(35, 102.0)	(40, 36.0)	(45, 16.0)	(50, 57.0)	(55, 109.0)	(60, 32.0)	(65, 116.0)	(70, 143.0)	(75, 121.0)	(80, 87.0)	(85, 101.0)	(90, 65.0)	(95, 69.0)	(100, 179.0)	(105, 346.0)	(110, 103.0)	(115, 233.0)	(120, 83.0)	(125, 309.0)	(130, 294.0)	(135, 106.0)	(140, 302.0)	(145, 82286.0)	(150, 47455.0)
SRR23609078_2	(35, 138.0)	(40, 80.0)	(45, 43.0)	(50, 65.0)	(55, 74.0)	(60, 35.0)	(65, 120.0)	(70, 147.0)	(75, 88.0)	(80, 89.0)	(85, 114.0)	(90, 99.0)	(95, 55.0)	(100, 126.0)	(105, 138.0)	(110, 102.0)	(115, 119.0)	(120, 66.0)	(125, 90.0)	(130, 132.0)	(135, 160.0)	(140, 180.0)	(145, 61852.0)	(150, 68638.0)
SRR23609079_1	(35, 69.0)	(40, 36.0)	(45, 17.0)	(50, 41.0)	(55, 55.0)	(60, 17.0)	(65, 82.0)	(70, 70.0)	(75, 74.0)	(80, 58.0)	(85, 48.0)	(90, 38.0)	(95, 32.0)	(100, 75.0)	(105, 88.0)	(110, 69.0)	(115, 119.0)	(120, 47.0)	(125, 149.0)	(130, 191.0)	(135, 109.0)	(140, 163.0)	(145, 29974.0)	(150, 43485.0)
SRR23609079_2	(35, 87.0)	(40, 51.0)	(45, 40.0)	(50, 45.0)	(55, 59.0)	(60, 33.0)	(65, 93.0)	(70, 88.0)	(75, 55.0)	(80, 54.0)	(85, 61.0)	(90, 48.0)	(95, 39.0)	(100, 90.0)	(105, 62.0)	(110, 68.0)	(115, 59.0)	(120, 38.0)	(125, 68.0)	(130, 91.0)	(135, 87.0)	(140, 96.0)	(145, 27003.0)	(150, 46691.0)
SRR23609080_1	(35, 117.0)	(40, 39.0)	(45, 21.0)	(50, 83.0)	(55, 104.0)	(60, 37.0)	(65, 133.0)	(70, 130.0)	(75, 113.0)	(80, 108.0)	(85, 92.0)	(90, 73.0)	(95, 65.0)	(100, 131.0)	(105, 88.0)	(110, 124.0)	(115, 242.0)	(120, 57.0)	(125, 290.0)	(130, 353.0)	(135, 207.0)	(140, 318.0)	(145, 69735.0)	(150, 72382.0)
SRR23609080_2	(35, 123.0)	(40, 82.0)	(45, 43.0)	(50, 78.0)	(55, 94.0)	(60, 64.0)	(65, 116.0)	(70, 144.0)	(75, 93.0)	(80, 87.0)	(85, 128.0)	(90, 80.0)	(95, 45.0)	(100, 137.0)	(105, 86.0)	(110, 142.0)	(115, 113.0)	(120, 44.0)	(125, 124.0)	(130, 150.0)	(135, 115.0)	(140, 170.0)	(145, 62070.0)	(150, 80714.0)
SRR23609081_1	(35, 61.0)	(40, 93.0)	(45, 82.0)	(50, 83.0)	(55, 122.0)	(60, 103.0)	(65, 94.0)	(70, 157.0)	(75, 309.0)	(80, 486.0)	(85, 565.0)	(90, 628.0)	(95, 687.0)	(100, 663.0)	(105, 851.0)	(110, 1167.0)	(115, 1423.0)	(120, 1638.0)	(125, 1332.0)	(130, 1343.0)	(135, 1628.0)	(140, 1379.0)	(145, 17168.0)	(150, 66958.0)
SRR23609081_2	(35, 70.0)	(40, 105.0)	(45, 81.0)	(50, 98.0)	(55, 111.0)	(60, 108.0)	(65, 100.0)	(70, 128.0)	(75, 82.0)	(80, 92.0)	(85, 93.0)	(90, 106.0)	(95, 108.0)	(100, 121.0)	(105, 302.0)	(110, 1175.0)	(115, 2151.0)	(120, 2520.0)	(125, 2598.0)	(130, 2525.0)	(135, 2750.0)	(140, 2905.0)	(145, 14764.0)	(150, 65927.0)
