Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR23609077_1	95.64139704572389	37.0	147.7522869691172	147	40.0	0.129101
SRR23609077_2	95.0379935089581	37.0	148.18961898048815	150	40.0	0.129101
SRR23609078_1	98.89792843691149	37.0	147.27576271186442	147	40.0	0.13275
SRR23609078_2	98.58305084745763	37.0	147.92412806026366	150	40.0	0.13275
SRR23609079_1	94.77937847841717	39.0	148.0612001704258	150	40.0	0.07510599999999999
SRR23609079_2	94.24546640747744	39.0	148.15501424653158	150	40.0	0.07510599999999999
SRR23609080_1	98.7065815418982	39.0	147.88651562995545	147	40.0	0.145042
SRR23609080_2	98.41494187890405	40.0	148.11953089449952	150	40.0	0.145042
SRR23609081_1	84.85255503938598	42.0	144.45943243789134	150	50.0	0.09902
SRR23609081_2	84.5950313068067	41.0	145.09401636033124	150	40.0	0.09902
SRR23609082_1	91.30136304845288	41.0	140.73954084170728	150	50.0	0.20102
SRR23609082_2	90.88448910556164	41.0	145.08899363247437	150	50.0	0.20102
SRR23609083_1	94.11494252873564	42.0	144.69081896551725	150	50.0	0.1392
SRR23609083_2	93.79382183908046	41.0	144.6418893678161	150	50.0	0.1392
SRR23609084_1	87.04283702046565	44.0	145.56208467975804	150	50.0	0.181035
SRR23609084_2	86.73902836468086	43.0	145.79842019498992	150	50.0	0.181035
SRR23609085_1	87.76612089021553	44.0	145.8750201191051	150	50.0	0.136686
SRR23609085_2	87.43982558564886	44.0	146.3013732203737	150	50.0	0.136686
SRR23609086_1	94.89930252608428	44.0	145.8970748429264	150	50.0	0.19369899999999998
SRR23609086_2	94.45479842435944	43.0	146.01222773478437	150	50.0	0.19369899999999998
